# S145 mate-safety set. Regenerate with:
#   ~/.venv/chess/bin/python adocs/data/S145_mate_set.py generate
# Re-check an existing file, both oracles, from scratch:
#   ~/.venv/chess/bin/python adocs/data/S145_mate_set.py verify
# defender_nodes are the positions at plies 1, 3, ... on the
# quiet mating line, which are the nodes the guard has to search.
fen	distance	family	lead	proof_nodes	key	defender_nodes
rbrb1K2/p1p1p3/P1P1P2k/Q7/8/8/8/8 w - - 0 1	2	shift0	760	113	f8f7	rbrb4/p1p1pK2/P1P1P2k/Q7/8/8/8/8 b - - 1 1
rbrb4/p1p1p3/P1P1P3/k7/2K5/7Q/8/8 w - - 0 1	2	shift0	760	545	h3b3	rbrb4/p1p1p3/P1P1P3/k7/2K5/1Q6/8/8 b - - 1 1
1k6/8/8/8/8/1p1p1p2/1P1PqP2/2BRBRK1 b - - 0 1	3	shift2_flip_black	760	3794	e2e6	1k6/8/4q3/8/8/1p1p1p2/1P1P1P2/2BRBRK1 w - - 1 2|1k6/8/8/8/6q1/1p1p1p2/1P1P1P1K/2BRBR2 w - - 3 3
1krbrb1Q/2p1p1p1/2P1P1P1/2K5/8/8/8/8 w - - 0 1	3	shift2	760	1879	h8h4	1krbrb2/2p1p1p1/2P1P1P1/2K5/7Q/8/8/8 b - - 1 1|k1rbrb2/2p1p1p1/2P1P1P1/2K5/1Q6/8/8/8 b - - 3 2
1krbrb1Q/2p1p1p1/K1P1P1P1/8/8/8/8/8 w - - 0 1	3	shift2	760	653	h8h5	1krbrb2/2p1p1p1/K1P1P1P1/7Q/8/8/8/8 b - - 1 1|k1rbrb2/2p1p1p1/K1P1P1P1/2Q5/8/8/8/8 b - - 3 2
2brbrk1/Qp1p1p2/1P1P1P2/8/8/1K6/8/8 w - - 0 1	3	shift2_flip	760	2189	a7a5	2brbrk1/1p1p1p2/1P1P1P2/Q7/8/1K6/8/8 b - - 1 1|2brbr1k/1p1p1p2/1P1P1P2/6Q1/8/1K6/8/8 b - - 3 2
4K3/1q5k/8/8/8/3p1p1p/3P1P1P/4BRBR b - - 0 1	3	shift0_flip_black	760	4254	h7g7	4K3/1q4k1/8/8/8/3p1p1p/3P1P1P/4BRBR w - - 1 2|3K4/1q6/5k2/8/8/3p1p1p/3P1P1P/4BRBR w - - 3 3
4brbr/3p1p1p/3P1P1P/8/1K6/2Q5/8/1k6 w - - 0 1	3	shift0_flip	760	8014	c3d2	4brbr/3p1p1p/3P1P1P/8/1K6/8/3Q4/1k6 b - - 1 1|4brbr/3p1p1p/3P1P1P/8/8/2K5/3Q4/k7 b - - 3 2
4brbr/3p1p1p/3P1P1P/8/8/2Q5/4k1K1/8 w - - 0 1	3	shift0_flip	760	5860	c3d4	4brbr/3p1p1p/3P1P1P/8/3Q4/8/4k1K1/8 b - - 1 1|4brbr/3p1p1p/3P1P1P/8/3Q4/5K2/8/4k3 b - - 3 2
7K/8/3qk3/8/8/3p1p1p/3P1P1P/4BRBR b - - 0 1	3	shift0_flip_black	760	3620	e6f7	7K/5k2/3q4/8/8/3p1p1p/3P1P1P/4BRBR w - - 1 2|5k2/7K/3q4/8/8/3p1p1p/3P1P1P/4BRBR w - - 3 3
8/4q3/6K1/8/7k/p1p1p3/P1P1P3/RBRB4 b - - 0 1	3	shift0_black	760	5149	h4g4	8/4q3/6K1/8/6k1/p1p1p3/P1P1P3/RBRB4 w - - 1 2|8/4q3/7K/5k2/8/p1p1p3/P1P1P3/RBRB4 w - - 3 3
8/8/2k3q1/8/8/2p1p1p1/2P1P1P1/1KRBRB2 b - - 0 1	3	shift2_black	760	947	g6g8	6q1/8/2k5/8/8/2p1p1p1/2P1P1P1/1KRBRB2 w - - 1 2|1q6/8/2k5/8/8/2p1p1p1/2P1P1P1/K1RBRB2 w - - 3 3
8/8/3q4/8/8/p1p1p3/P1P1P3/RBRBk2K b - - 0 1	3	shift0_black	760	3059	d6g6	8/8/6q1/8/8/p1p1p3/P1P1P3/RBRBk2K w - - 1 2|8/8/6q1/8/8/p1p1p3/P1P1Pk1K/RBRB4 w - - 3 3
8/8/7k/8/8/1p1p1p2/1P1P1P2/q1BRBRK1 b - - 0 1	3	shift2_flip_black	760	3796	a1a4	8/8/7k/8/q7/1p1p1p2/1P1P1P2/2BRBRK1 w - - 1 2|8/8/7k/8/6q1/1p1p1p2/1P1P1P1K/2BRBR2 w - - 3 3
8/8/8/5k2/8/2p1p1pq/2P1P1P1/1KRBRB2 b - - 0 1	3	shift2_black	760	4942	h3h4	8/8/8/5k2/7q/2p1p1p1/2P1P1P1/1KRBRB2 w - - 1 2|8/8/8/5k2/1q6/2p1p1p1/K1P1P1P1/2RBRB2 w - - 3 3
Q1brbrk1/1p1p1p2/1P1P1P2/8/8/5K2/8/8 w - - 0 1	3	shift2_flip	760	2350	a8a5	2brbrk1/1p1p1p2/1P1P1P2/Q7/8/5K2/8/8 b - - 1 1|2brbr1k/1p1p1p2/1P1P1P2/6Q1/8/5K2/8/8 b - - 3 2
rbrb4/p1p1p1k1/P1P1P3/6K1/8/3Q4/8/8 w - - 0 1	3	shift0	760	6776	d3h3	rbrb4/p1p1p1k1/P1P1P3/6K1/8/7Q/8/8 b - - 1 1|rbrb2k1/p1p1p3/P1P1P1K1/8/8/7Q/8/8 b - - 3 2
rbrb4/p1p1p3/P1P1P3/8/8/8/5k1K/1Q6 w - - 0 1	3	shift0	760	4481	b1e4	rbrb4/p1p1p3/P1P1P3/8/4Q3/8/5k1K/8 b - - 1 1|rbrb4/p1p1p3/P1P1P3/8/4Q3/6K1/8/5k2 b - - 3 2
4brbr/3p1p1p/3P1P1P/3K4/2Q5/8/1k6/8 w - - 0 1	4	shift0_flip	760	35935	d5d4	4brbr/3p1p1p/3P1P1P/8/2QK4/8/1k6/8 b - - 1 1|4brbr/3p1p1p/3P1P1P/1Q6/3K4/k7/8/8 b - - 3 2|4brbr/3p1p1p/3P1P1P/1Q6/8/2K5/k7/8 b - - 5 3
7K/8/1q6/8/4k3/3p1p1p/3P1P1P/4BRBR b - - 0 1	4	shift0_flip_black	760	25683	b6c7	7K/2q5/8/8/4k3/3p1p1p/3P1P1P/4BRBR w - - 1 2|6K1/2q5/8/5k2/8/3p1p1p/3P1P1P/4BRBR w - - 3 3|7K/2q5/6k1/8/8/3p1p1p/3P1P1P/4BRBR w - - 5 4
7K/8/3k4/8/q7/p1p1p3/P1P1P3/RBRB4 b - - 0 1	4	shift0_black	760	36018	d6e7	7K/4k3/8/8/q7/p1p1p3/P1P1P3/RBRB4 w - - 1 2|6K1/8/5k2/8/q7/p1p1p3/P1P1P3/RBRB4 w - - 3 3|7K/5k2/8/8/q7/p1p1p3/P1P1P3/RBRB4 w - - 5 4
8/8/8/8/7K/p1p1pq2/P1P1P3/RBRB1k2 b - - 0 1	4	shift0_black	760	29763	f3f5	8/8/8/5q2/7K/p1p1p3/P1P1P3/RBRB1k2 w - - 1 2|8/8/8/8/4q3/p1p1p1K1/P1P1P3/RBRB1k2 w - - 3 3|8/8/8/8/4q3/p1p1p2K/P1P1Pk2/RBRB4 w - - 5 4
k1K5/8/8/4q3/8/3p1p1p/3P1P1P/4BRBR b - - 0 1	4	shift0_flip_black	760	27203	e5g7	k1K5/6q1/8/8/8/3p1p1p/3P1P1P/4BRBR w - - 1 2|3K4/1k4q1/8/8/8/3p1p1p/3P1P1P/4BRBR w - - 3 3|4K3/6q1/2k5/8/8/3p1p1p/3P1P1P/4BRBR w - - 5 4
k3brbr/3p1p1p/3P1P1P/8/K7/8/8/5Q2 w - - 0 1	4	shift0_flip	760	21485	a4b5	k3brbr/3p1p1p/3P1P1P/1K6/8/8/8/5Q2 b - - 1 1|1k2brbr/3p1p1p/1K1P1P1P/8/8/8/8/5Q2 b - - 3 2|2k1brbr/3p1p1p/1K1P1P1P/8/8/5Q2/8/8 b - - 5 3
rbrb4/p1p1p3/P1P1P3/8/1k1K4/6Q1/8/8 w - - 0 1	4	shift0	760	17826	d4d5	rbrb4/p1p1p3/P1P1P3/3K4/1k6/6Q1/8/8 b - - 1 1|rbrb4/p1p1p3/P1P1P3/1k1K4/8/Q7/8/8 b - - 3 2|rbrb4/p1p1p3/PkP1P3/8/2K5/Q7/8/8 b - - 5 3
rbrb4/p1p1p3/P1P1P3/k3K3/2Q5/8/8/8 w - - 0 1	4	shift0	760	28913	e5d5	rbrb4/p1p1p3/P1P1P3/k2K4/2Q5/8/8/8 b - - 1 1|rbrb4/p1p1p3/PkP1P3/3K4/8/8/4Q3/8 b - - 3 2|rbrb4/p1p1p3/P1P1P3/k1K5/8/8/4Q3/8 b - - 5 3
2K5/7q/8/7k/8/p1p1p3/P1P1P3/RBRB4 b - - 0 1	5	shift0_black	760	166262	h7a7	2K5/q7/8/7k/8/p1p1p3/P1P1P3/RBRB4 w - - 1 2|3K4/1q6/8/7k/8/p1p1p3/P1P1P3/RBRB4 w - - 3 3|4K3/1q6/6k1/8/8/p1p1p3/P1P1P3/RBRB4 w - - 5 4|5K2/3q4/6k1/8/8/p1p1p3/P1P1P3/RBRB4 w - - 7 5
4brbr/3p1p1p/1k1P1P1P/8/K1Q5/8/8/8 w - - 0 1	5	shift0_flip	760	37282	c4d5	4brbr/3p1p1p/1k1P1P1P/3Q4/K7/8/8/8 b - - 1 1|4brbr/k2p1p1p/3P1P1P/1K1Q4/8/8/8/8 b - - 3 2|1k2brbr/3p1p1p/1K1P1P1P/3Q4/8/8/8/8 b - - 5 3|2k1brbr/K2p1p1p/3P1P1P/3Q4/8/8/8/8 b - - 7 4
4brbr/3p1p1p/3P1P1P/4Q3/k7/8/8/4K3 w - - 0 1	5	shift0_flip	760	175334	e5d5	4brbr/3p1p1p/3P1P1P/3Q4/k7/8/8/4K3 b - - 1 1|4brbr/3p1p1p/3P1P1P/3Q4/1k6/8/3K4/8 b - - 3 2|4brbr/1Q1p1p1p/3P1P1P/8/k7/8/3K4/8 b - - 5 3|4brbr/1Q1p1p1p/3P1P1P/k7/8/2K5/8/8 b - - 7 4
8/1q6/8/4k3/8/3p1p1p/3P1P1P/K3BRBR b - - 0 1	5	shift0_flip_black	760	236454	e5d5	8/1q6/8/3k4/8/3p1p1p/3P1P1P/K3BRBR w - - 1 2|8/1q6/8/8/2k5/3p1p1p/K2P1P1P/4BRBR w - - 3 3|8/8/8/8/2k5/K2p1p1p/3P1P1P/1q2BRBR w - - 5 4|1q6/8/8/8/K1k5/3p1p1p/3P1P1P/4BRBR w - - 7 5
8/5q2/8/6K1/8/p1p1p2k/P1P1P3/RBRB4 b - - 0 1	5	shift0_black	760	215955	h3g3	8/5q2/8/6K1/8/p1p1p1k1/P1P1P3/RBRB4 w - - 1 2|6q1/8/7K/8/8/p1p1p1k1/P1P1P3/RBRB4 w - - 3 3|6q1/8/8/7K/5k2/p1p1p3/P1P1P3/RBRB4 w - - 5 4|6q1/8/7K/5k2/8/p1p1p3/P1P1P3/RBRB4 w - - 7 5
8/8/4K3/8/3qk3/3p1p1p/3P1P1P/4BRBR b - - 0 1	5	shift0_flip_black	760	138111	d4d8	3q4/8/4K3/8/4k3/3p1p1p/3P1P1P/4BRBR w - - 1 2|3q4/5K2/8/5k2/8/3p1p1p/3P1P1P/4BRBR w - - 3 3|4q3/6K1/8/5k2/8/3p1p1p/3P1P1P/4BRBR w - - 5 4|4q3/7K/5k2/8/8/3p1p1p/3P1P1P/4BRBR w - - 7 5
rbrb4/p1p1p3/P1P1P3/6Q1/8/1K5k/8/8 w - - 0 1	5	shift0	760	232099	b3c4	rbrb4/p1p1p3/P1P1P3/6Q1/2K5/7k/8/8 b - - 1 1|rbrb4/p1p1p3/P1P1P3/3K2Q1/8/8/7k/8 b - - 3 2|rbrb4/p1p1p3/P1P1P3/6Q1/4K3/7k/8/8 b - - 5 3|rbrb4/p1p1p3/P1P1P3/6Q1/8/5K2/7k/8 b - - 7 4
rbrb4/p1p1p3/P1P1P3/8/1k6/8/2QK4/8 w - - 0 1	5	shift0	760	179991	d2e3	rbrb4/p1p1p3/P1P1P3/8/1k6/4K3/2Q5/8 b - - 1 1|rbrb4/p1p1p3/P1P1P3/1k6/3K4/8/2Q5/8 b - - 3 2|rbrb4/p1p1p3/PkP1P3/8/2K5/8/2Q5/8 b - - 5 3|rbrb4/p1p1p3/P1k1P3/5Q2/2K5/8/8/8 b - - 1 4
