# S230's separation pass: every candidate position swept over depths 3
# to 12 twice, once on the shipped build and once with
# R01_extra_reduction_gives_check of tools/mutants/S091_capture_see.py
# patched into the working tree and chesso_engine rebuilt. The depth
# columns are `search_fen()` of tests/test_search.cpp, not `go depth N`.
# Regenerate: adocs/data/S230_mine_r01_row.py depths, twice.
# separated_at is the rule DEC-209 clause 4 states: a depth the shipped
# build reports the mate at and the mutant does not.
fen	shipped_depths	r01_depths	separated_at
r5k1/pp1Q3p/6p1/2n2p2/2pP4/B3R3/6PP/3R2K1 w - - 1 33	d12	d12	none
r5kr/1p1b4/p2QpBB1/8/3P3P/2P5/6K1/1R6 w - - 3 38	d5 d6 d7 d8 d9 d10 d11 d12	d5 d6 d7 d8 d9 d10 d11 d12	none
r5rk/1pB4p/p3BRpP/2P5/3p4/8/P5PK/5R2 w - - 1 31	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
r5rk/1pp4p/5b1q/3P1pN1/8/PQ2P2b/1PBN4/R5K1 b - - 0 31	none	none	none
r6k/3b1pqp/p2p1p2/2pP1P2/4P2Q/P1P3RP/2P4K/R7 w - - 3 36	d8 d11 d12	d8 d11 d12	none
r7/3p2kp/4p1p1/2p5/p1N1PQ2/P7/B1P3K1/5R2 w - - 0 34	d9 d10 d11 d12	d9 d10 d11 d12	none
r7/p5Rk/2p1p2p/2B1PP2/3P3n/P1P4q/1r3P2/2RQ2K1 b - - 0 35	d9	d9	none
r7/pp4k1/5rp1/1nPp1Q1R/8/1P6/2P2P2/2K3R1 w - - 0 33	d10	d10	none
rbrb1K2/p1p1p3/P1P1P2k/Q7/8/8/8/8 w - - 0 1	d3 d4 d5 d8 d9 d10 d11 d12	d3 d4 d5 d8 d9 d10 d11 d12	none
rbrb1k2/p1p1p1Rp/P1P1P2P/8/8/2K5/8/8 w - - 0 1	d3 d4 d5	d3 d4 d5	none
rbrb4/p1p1p1k1/P1P1P3/6K1/8/3Q4/8/8 w - - 0 1	d11	d11	none
rbrb4/p1p1p2p/P1P1P2P/2K5/8/k7/2R5/8 w - - 0 1	d3 d4 d5 d10 d12	d3 d4 d5 d10 d12	none
rbrb4/p1p1p2p/P1P1P2P/8/1R6/8/8/3K3k w - - 0 1	none	none	none
rbrb4/p1p1p2p/P1P1P2P/8/7K/8/7k/6R1 w - - 0 1	none	none	none
rbrb4/p1p1p2p/P1P1P2P/8/8/8/1k1K4/2R5 w - - 0 1	none	none	none
rbrb4/p1p1p2p/P1P1P2P/8/8/8/7R/1k1K4 w - - 0 1	d12	d12	none
rbrb4/p1p1p3/P1P1P3/6Q1/8/1K5k/8/8 w - - 0 1	none	none	none
rbrb4/p1p1p3/P1P1P3/8/1k1K4/6Q1/8/8 w - - 0 1	none	none	none
rbrb4/p1p1p3/P1P1P3/8/1k6/8/2QK4/8 w - - 0 1	none	none	none
rbrb4/p1p1p3/P1P1P3/8/8/8/5k1K/1Q6 w - - 0 1	none	none	none
rbrb4/p1p1p3/P1P1P3/k3K3/2Q5/8/8/8 w - - 0 1	none	none	none
rbrb4/p1p1p3/P1P1P3/k7/2K5/7Q/8/8 w - - 0 1	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
rbrbk3/p1p1p2p/P1P1P2P/6K1/8/7R/8/8 w - - 0 1	none	none	none
rbrbk3/p1p1p2p/P1P1P2P/8/1R2K3/8/8/8 w - - 0 1	none	none	none
rn3r2/pp4k1/2p5/7Q/8/7P/P1qN1P2/4R1K1 w - - 0 27	d7 d8 d9 d10 d11 d12	d7 d8 d9 d10 d11 d12	none
rn4k1/p4q2/2p1B3/1pbp1p2/7R/2N3P1/PPP1Q2P/7K w - - 0 25	d7 d8 d9 d10 d11 d12	d7 d8 d9 d10 d11 d12	none
rqb2k2/1pr5/4p1Q1/1P2N1pp/2R2n2/P3P3/KB5P/5R2 w - - 10 34	d7 d9 d10 d11 d12	d7 d9 d10 d11 d12	none
rr5k/2n3Rp/8/p5N1/P7/1pQ2p2/5PKP/4R3 w - - 0 32	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
