# S145 mined breadth set: the final position of one game per row,
# labelled by stockfish at 200000 nodes. Regenerate with:
#   ~/.venv/chess/bin/python adocs/data/S145_mined_set.py mine --games N
# Scored as a count with a floor, never per position:
#   ~/.venv/chess/bin/python adocs/data/S145_mined_set.py score --depth 10 --floor 143
fen	distance	game
5b1r/pp2pppp/k4n2/2Q5/q7/4B2P/PPP2PP1/3R2K1 w - - 1 20	3	1310
5bk1/3Q4/8/1p1Pp1PK/8/7P/2p5/8 w - - 0 71	3	3805
5k2/R4ppQ/5b1p/1pp5/5p2/2PB3P/5PP1/4r1K1 w - - 1 35	3	4562
5r2/1p4Nk/pqp2P2/3p4/1Pn3Q1/2P1p3/P3P3/2K2R2 w - - 3 40	3	2104
5rk1/5p1p/3p2p1/1P2b3/6q1/1P4N1/r5PP/2KRQ2R b - - 5 27	3	297
6k1/1p1b3R/p1n1p2Q/3p3p/3P3P/P1B2rK1/1PB2n2/8 w - - 0 33	3	1436
6k1/4Q3/2P2K2/p7/P3p1P1/8/1q6/8 w - - 9 72	3	4992
6kr/2b1R2p/7p/3p1N2/8/1B4P1/3r1PP1/2R3K1 w - - 1 41	3	915
7k/5r2/p1p5/8/P3Q1R1/5pPK/7P/8 w - - 3 49	3	5909
8/1R3k1p/5p2/8/8/2P5/PPrr4/6K1 b - - 3 38	3	502
8/1p3pk1/p4Qp1/2q5/8/P2p1P1b/1Pr1n1PP/3RRK2 b - - 4 37	3	910
8/3R4/2k5/5Q2/K7/8/8/1r5q w - - 16 83	3	2662
8/6kp/p3P1p1/3pP3/7K/3n1qN1/7P/8 b - - 1 43	3	1638
8/6p1/P1p1pPk1/P2p4/7Q/2P2R2/qr4PK/8 w - - 1 38	3	707
8/8/3p2R1/1p4p1/4PkPP/4n3/2r5/6K1 b - - 0 73	3	4349
8/k1p5/p5p1/n1q5/1R1Q4/7P/5PK1/8 w - - 4 59	3	989
Qr4kr/5ppB/3b1n2/8/3P4/4Pp1q/PP3P2/R1B2RK1 b - - 0 23	3	1759
k2r4/Pq4p1/4p3/Q1ppP2r/3P3p/1R3b1P/5BP1/1R4K1 w - - 1 37	3	3810
n7/7r/2pP1R1p/3p1B2/5p1k/1p2P2P/6PK/8 w - - 0 50	3	3110
r1b1N1kr/1p2Q2p/6pB/p2p1p2/2q5/5N2/PPP2bPP/R3R1K1 w - - 0 21	3	2750
r2r1n1k/2q2p1N/p3pNpQ/2p1P3/PpR5/7P/1P3Bb1/R6K w - - 0 29	3	4988
r4k2/p1n2Np1/2p1P1Q1/1p1p2p1/1P1N4/P7/2P2RP1/6K1 w - - 1 33	3	1457
r4r2/pp3pk1/2p3pp/4P2N/P1B5/5b1q/1P1Q1P2/R3R1K1 b - - 9 28	3	97
r4rk1/7p/p1Nppp1B/1p6/2p1P1b1/P5Q1/1P3PP1/3R2K1 w - - 2 30	3	5401
r4rk1/pp3p2/3bn2R/3p1QpN/4p3/P7/2BN2PK/R7 w - - 1 28	3	111
r5kr/1p1b4/p2QpBB1/8/3P3P/2P5/6K1/1R6 w - - 3 38	3	3383
r5rk/1pB4p/p3BRpP/2P5/3p4/8/P5PK/5R2 w - - 1 31	3	2594
rr5k/2n3Rp/8/p5N1/P7/1pQ2p2/5PKP/4R3 w - - 0 32	3	1114
1Q2R3/6k1/2pp1p1p/6p1/1p6/3K3P/1PP2q2/r7 b - - 7 49	4	4104
1Q3b1k/5R1p/1p1q4/1P1Bp1p1/8/6P1/6KP/8 w - - 3 36	4	5170
1R3r2/4Q3/6kp/6p1/4P3/2p2P1P/6PK/2q5 w - - 3 49	4	1160
1R4k1/5pp1/8/3P4/4p2P/5pP1/4rP2/r3NK2 b - - 2 45	4	3980
1R6/p5kp/6p1/3p1q2/N3p3/P3n1P1/1P5P/R5K1 b - - 2 31	4	3506
1kn5/2Q5/1p4p1/1P6/4r1P1/1P3p1q/P4P2/3R2K1 b - - 0 51	4	1321
2r1r1k1/6q1/1pbBp1R1/p2pP3/P1pP3Q/7P/5P2/1R4K1 w - - 1 48	4	4968
2r2k2/1p3p1b/p2P1Q1p/6p1/3B1p2/P1N2R1P/6PK/2q5 w - - 3 37	4	4024
2r2k2/6RR/4P1p1/p4p2/3K1P2/P5r1/8/8 w - - 3 48	4	4996
3N1bk1/3Q3p/6p1/p3Bp1n/1p6/3P1P1P/1q5K/8 w - - 0 33	4	4156
3r1rk1/1p4p1/p2p1pP1/3Rp2Q/8/6P1/PPq2PB1/1K5R w - - 0 25	4	3442
3r2nr/Nn1kb3/4pp2/1B1p3q/3B2p1/6p1/P1P5/3Q1RK1 b - - 1 24	4	109
3r2r1/1p1B1p2/3Rp3/2k1B1p1/4P2p/5P2/6P1/R5K1 w - - 3 37	4	228
3r4/p1p4k/6p1/8/2N3B1/1P1Q2qP/P7/7K b - - 0 31	4	149
4r1k1/R2b3p/1B1p2p1/P2PpP2/7Q/3q1PP1/6PK/8 w - - 2 36	4	3499
4rk2/7Q/1pq5/2pR1p2/2P5/3B4/r1P3K1/3R4 w - - 4 48	4	822
5k2/2R3R1/4P3/4rK1p/p4p2/6b1/2P5/8 w - - 3 40	4	5044
5rk1/8/6qp/8/8/PP3PPb/5K1P/3R4 b - - 1 39	4	798
6k1/1p3rP1/2p2PQ1/4p3/3P4/4PRK1/q7/8 w - - 1 42	4	3292
6k1/5p1p/2R5/p7/5p2/P5qP/1PP3P1/4r1QK b - - 6 33	4	4680
6k1/7p/p6Q/4p3/1Pp3r1/5P2/1qB4K/5RR1 w - - 3 35	4	330
6k1/Q2b1pp1/4qb1p/3p1p2/6P1/5P1P/1r4B1/K1R4R b - - 1 34	4	3288
6k1/p1N4p/4b1qp/2p1P3/2P5/1rb4P/Q4PPR/2K5 b - - 3 44	4	3253
6k1/p2R1p2/6p1/1p1Q4/8/n3P1P1/5qKP/8 w - - 0 37	4	1133
6r1/Pp3p1p/2k1p3/1P5r/3B4/3P1p1P/2P2P2/5R1K b - - 0 28	4	983
7r/1p3p2/4k2p/3n3P/4p1p1/rPbR4/5PPN/1K5R b - - 0 28	4	551
8/4Ppk1/1pQ5/2pp4/p2P1K2/r1P2P1P/8/8 w - - 1 50	4	4741
8/5Q1p/p5pk/3P4/8/q1N4P/2K2P2/4R3 w - - 1 41	4	4543
8/5Qp1/kpp1p1p1/p5P1/P2PR3/7r/1PPbK3/R6q b - - 5 35	4	264
8/5Rpk/pp3b2/1P1P1Q2/7n/P4q2/8/6K1 b - - 6 41	4	263
8/8/1P6/P7/5k2/4p2P/2r5/6K1 b - - 0 60	4	2569
8/8/2R1Q3/5p2/2pp4/3k3P/5KP1/rq6 w - - 1 48	4	2453
8/8/2p2p1k/p3p3/4P1Q1/2PR4/1r3KP1/8 w - - 1 45	4	5327
8/8/6B1/6PP/4p3/4kr2/2p3K1/8 b - - 1 80	4	5942
8/Q7/5pkp/1p3P1p/1P6/P3p1P1/3r1q2/R6K b - - 0 44	4	1467
8/p3Q2p/p3pn1k/4N3/8/1P5P/q5PK/8 w - - 2 35	4	2486
R1q2Q2/1p4pk/1p2p1p1/1n1pP2p/3P3P/2P1B1P1/5PK1/4r3 w - - 6 38	4	4289
R6k/1b2p2p/2p3p1/2N1Nn2/5P2/7P/6PK/2rr4 b - - 1 35	4	5110
r2b1R2/pp1N2pk/4p3/1Q1p4/1P6/P7/1q4PP/7K w - - 2 40	4	302
r2qr2k/4n3/b1p1pN1B/8/1p1Pp2P/2P3P1/1P4P1/R2QR1K1 w - - 3 30	4	4402
r3r2k/6pp/R2p4/1P1P1pb1/2P5/4Qp2/5PqP/2R1K3 b - - 3 30	4	977
r4rk1/p3np2/7B/7Q/6b1/P1K1p3/4B1RP/1R6 w - - 1 27	4	1969
r5k1/2R2p2/4p3/2n1P1NQ/4q3/6P1/5PK1/8 w - - 2 52	4	3561
r5k1/pp1Q3p/6p1/2n2p2/2pP4/B3R3/6PP/3R2K1 w - - 1 33	4	636
r7/3p2kp/4p1p1/2p5/p1N1PQ2/P7/B1P3K1/5R2 w - - 0 34	4	4154
r7/pp4k1/5rp1/1nPp1Q1R/8/1P6/2P2P2/2K3R1 w - - 0 33	4	3550
rn3r2/pp4k1/2p5/7Q/8/7P/P1qN1P2/4R1K1 w - - 0 27	4	2339
rn4k1/p4q2/2p1B3/1pbp1p2/7R/2N3P1/PPP1Q2P/7K w - - 0 25	4	19
rqb2k2/1pr5/4p1Q1/1P2N1pp/2R2n2/P3P3/KB5P/5R2 w - - 10 34	4	2175
1R6/5k2/4p2p/1p2P3/1P3np1/3r1P2/1P3P1P/4K3 b - - 0 41	5	2526
1k6/6p1/P2pQ2p/4p3/1P5P/7K/5b2/5r2 w - - 1 44	5	1770
1r3k2/3Q4/p2N1p2/2pqp3/2P4P/1P4PK/8/1R6 w - - 0 52	5	3425
1r5k/2p3pp/3pQ3/1P1P4/2q5/4K3/r4P1P/3R1R2 b - - 7 36	5	2549
1rr3k1/5p1Q/p7/q2ppbPp/3P4/P3RP2/2P4P/2K3NR b - - 0 25	5	3773
2Q5/1p3k2/p3pp2/3p4/6r1/1N3NP1/PP2qnKP/2R5 w - - 1 35	5	2997
2Rr2k1/Q3p2p/1p4p1/8/N7/4q2P/PP4P1/5K2 b - - 1 26	5	166
2b2k2/1p6/2p1pq2/2PnNp2/R6Q/P7/P4P1P/6RK w - - 3 35	5	4990
2b3k1/r2R4/p3p1B1/1p2p3/1Pq2p1b/P1P4Q/5PPP/3R2K1 w - - 3 42	5	4579
2b3nQ/5kP1/p1p1p3/2bpB3/4p1p1/1P6/2P2PP1/1K1R4 w - - 0 27	5	4334
2b5/4k2P/2Bp1r2/Q3p3/ppp4q/P1P5/1P4P1/3R2K1 w - - 2 55	5	3774
2r4k/1p5B/p3pQ1p/P2pb3/1P3q1P/5P2/4bP2/1N4K1 b - - 1 26	5	4513
2r5/1p3R2/p5pk/3PQ3/1P5K/P7/6q1/8 b - - 0 65	5	428
3R4/1p3k2/pB6/6p1/2PK4/2R5/P5qP/4r3 b - - 9 45	5	558
3R4/8/7p/6k1/3PP1P1/2r5/4K3/r7 b - - 14 62	5	5776
3krb1r/Np2pppp/3q1n2/8/Q4Bb1/2P3P1/P3NPBP/3RR1K1 w - - 3 18	5	262
3r4/6kp/1p6/8/P1q1Np2/2r1nP2/1Pp3PP/R1R3K1 b - - 1 38	5	478
4N3/8/3P1ppk/4p2p/4P2P/1n1P2P1/Q4PK1/3q4 w - - 5 46	5	4339
4bq2/7k/4P1p1/p5Q1/P1pB1P1p/7P/6P1/6K1 w - - 3 46	5	3632
4k3/pp3qb1/2p5/2Q1p3/1P6/P1PrBb1p/6RP/6K1 b - - 1 37	5	4315
5Q2/7p/1R3pk1/6p1/2p1P1P1/K1P3b1/5r2/6n1 w - - 21 63	5	1496
5Qk1/6r1/p2p1p2/3PpP2/4B2P/5P1P/3r1q2/1R5K b - - 0 63	5	4569
5k2/3R3p/p7/5N1R/1P2K3/5r1P/5r2/8 w - - 7 49	5	486
5k2/4R1R1/p7/2n4p/3B4/7P/2n2P1K/4r3 w - - 5 47	5	1462
5r1k/8/pQ6/1p2R1B1/6P1/2P4P/1P3P1K/1q6 w - - 1 39	5	904
5r2/2Q3k1/3p2p1/7p/p6P/P1P2q1b/5B1K/8 b - - 0 44	5	65
6k1/3R4/2R1p1Bp/4P3/6q1/p7/P3KP2/8 w - - 5 39	5	4593
6k1/3R4/P6p/5pp1/3p2P1/3K1P2/8/4b3 w - - 3 48	5	328
6k1/3r2b1/4p3/2P5/2P5/P5KP/3p1PP1/8 b - - 1 39	5	981
6k1/4rp2/8/p1Q3K1/7P/8/8/8 w - - 7 53	5	2254
6k1/p6r/Q1p1q1p1/2P5/P2pN3/3PbKP1/8/4R3 b - - 6 40	5	2094
6r1/2RR2pk/5P1p/p3N3/8/4b1PK/7r/8 w - - 0 41	5	5200
6rk/5rqp/p7/2P1p3/P3Q3/7n/1P4P1/R2R3K b - - 1 32	5	5850
7k/5R2/6K1/3R3p/6r1/8/8/8 w - - 3 86	5	599
7k/pR3K1p/6p1/4bp1r/5P2/1B4P1/8/8 w - - 6 54	5	2758
8/1p3Q1p/4Np2/8/Pbp1P2k/8/K7/5q2 b - - 15 54	5	4948
8/1p4bk/p3p1np/2N5/1P2P3/6BP/3q2PK/8 b - - 1 41	5	4448
8/1pp2R1P/p5k1/6N1/5P2/7K/3n2P1/7r w - - 1 53	5	562
8/2P3pk/4Bp1p/p1K5/1p6/5P2/7P/8 w - - 0 50	5	5625
8/2Q5/6kp/2pP1bp1/2P2P2/3p3P/5PK1/4q3 b - - 2 38	5	3375
8/2k2P2/2b5/p2p4/1p3K2/8/P5Q1/8 w - - 0 52	5	3071
8/5Qk1/p2p4/2pP2q1/2P5/p4p2/6N1/1r2R1K1 b - - 0 61	5	2119
8/5p1k/3R2p1/pP6/r1q5/4K3/8/8 b - - 1 57	5	704
Q7/5pk1/4N3/1p2P1pp/1P1P3b/7K/5q1P/8 b - - 0 42	5	5716
R2Q1bk1/5q2/4bP1p/2p1P3/3pB3/7P/2P3PK/8 w - - 3 50	5	1773
r1b5/1p3kpp/8/p1PPBpQ1/1n6/6q1/P4RBP/4R1K1 w - - 0 28	5	867
r1k3r1/pR3p2/Bp6/4q3/7Q/P5P1/1P4KP/8 w - - 4 36	5	1108
r3bk2/1p4pQ/2p1p2p/2q1P3/2p3P1/8/2B3KP/3RR3 w - - 6 33	5	772
r4b1k/5Qp1/p3P2p/3p1N2/3p1B2/7P/q4PP1/5RK1 w - - 3 27	5	908
r4rk1/pq2b3/4p2Q/2n1p2P/1pP5/4B3/PP6/2KR3R w - - 4 28	5	4010
r6k/3b1pqp/p2p1p2/2pP1P2/4P2Q/P1P3RP/2P4K/R7 w - - 3 36	5	2489
r7/p5Rk/2p1p2p/2B1PP2/3P3n/P1P4q/1r3P2/2RQ2K1 b - - 0 35	5	1888
1Q6/8/P3R3/8/k7/6K1/r7/3q4 w - - 2 74	6	2755
1R6/5R2/4p1pk/4Nb2/5P1p/r3K3/8/8 w - - 5 49	6	4424
1k2r3/pp6/2pP2p1/2Q5/4PPK1/P3B2r/4R3/3R3q b - - 6 36	6	3048
1k6/8/2K5/6R1/1P6/8/8/5b2 w - - 1 72	6	4091
1kN2r1R/3B4/pp1Q4/2pPp1q1/2n5/P4n2/1P2K3/4R3 b - - 0 39	6	4216
1n3rk1/1QN4p/2p5/1pP1P3/8/P3q2P/8/1R5K b - - 1 38	6	4340
1q1k1r2/4p2p/p3p2b/6p1/3P4/4PB2/PPr5/R1B1K1R1 b - - 1 31	6	2245
1r1rN1k1/3R1p1p/5Qp1/2p1P3/P4P2/2p3nP/5qP1/5RK1 w - - 6 33	6	1390
2k5/2p2P2/p1r5/1p1R4/4p1Pp/R6P/P1P2PK1/8 w - - 0 32	6	157
2kr4/Qp1rR3/p5p1/P7/4P2p/3PB2P/1P4PK/3q4 w - - 7 42	6	4773
2r2k2/5P2/8/5K1R/6P1/2qp3P/8/8 b - - 3 59	6	2680
2r2rk1/pp5p/3p2p1/3P2P1/5p2/P1b2P2/1qN1K2Q/3R3R b - - 1 28	6	3608
2r3k1/1b1p1p2/3PpPp1/4P2p/P4B2/1P5P/4q1P1/6QK b - - 0 48	6	952
2r4r/kq3pb1/N3p1p1/QPp1Pn1p/2PPRP2/7P/5BP1/R5K1 w - - 1 31	6	5926
3RR1nk/6b1/6p1/p5Np/P4P2/7P/8/1r1K4 w - - 11 46	6	3769
3r2k1/4r1b1/ppQ5/8/1P2pR2/2PP4/P4P2/2R1KN1q b - - 2 38	6	4553
4Q3/7k/1p3pp1/p1p5/P1P4P/1q3B2/6PK/8 w - - 0 46	6	2371
4Q3/p7/2p2p2/P3n2k/7P/2P3P1/5q2/7K b - - 4 42	6	5670
4r1B1/7k/2b3p1/6Bp/3p1b1P/P1P4q/5Q2/1R4K1 b - - 3 36	6	5399
4r3/4kpQ1/3Rq3/3P3p/Pr6/1nN5/5P1P/6K1 w - - 0 37	6	5332
4rk2/1R6/6PP/2pR4/3n4/1p4K1/8/8 w - - 3 73	6	3738
5R2/2p2R1p/7k/n7/8/1p1B4/3q2PP/7K w - - 6 42	6	3846
5qr1/7k/4R2b/p3QppP/1nP5/1PB2NP1/6K1/8 w - - 1 36	6	482
5r2/1R6/p2p4/P1pPk2p/B1P1p1pP/8/1P2r3/6K1 b - - 0 58	6	4012
5r2/1b4k1/2pp3B/4p3/p1P1P1q1/P4rb1/1PQ2P2/R4RK1 b - - 1 28	6	3558
5r2/7k/Q2p1qp1/2pPp3/2P1b1Bp/1r2P2P/7K/3NR3 b - - 3 47	6	5743
5r2/p3Q2p/3p1npk/1ppP4/5P2/6P1/1P3P1P/1q3BK1 w - - 0 32	6	370
6k1/1R6/4bR1p/pp6/3B2P1/P2q1P2/6K1/8 w - - 6 52	6	4066
6k1/1R6/6p1/1p6/3n4/1PB4R/1P5K/3r4 w - - 1 43	6	3388
6k1/1p6/3P1Qp1/p3P1K1/6P1/1q5P/8/8 w - - 1 52	6	2791
6k1/p7/5b1p/8/1P2b3/P1Pp1NPK/1B3P1P/4r3 b - - 3 30	6	1935
6nk/pp3Q2/1n2ppq1/3pP3/b2P4/5P2/P6P/2B2R1K w - - 0 35	6	4572
6r1/5p1p/1R2b3/1kp5/6r1/4B3/PP3P1K/3R4 b - - 12 37	6	4979
7k/2r5/pp2p2B/3bN2Q/2P2p2/7P/q1P2PP1/4R1K1 w - - 1 35	6	5412
7k/5p1p/p2p1N2/2p2P2/4P3/1r3n1P/3K2R1/6R1 w - - 2 42	6	1613
8/2N1Pkp1/1p1P3p/2p2p2/5p2/1P3P2/6PP/b4K2 w - - 3 41	6	2310
8/2R1kp2/1P6/4p1p1/4b2p/7P/3b1PP1/1r2N1K1 b - - 1 50	6	1376
8/2r2qkp/4QNp1/3P4/8/7P/1p4PK/4r3 b - - 1 45	6	2597
8/5k2/p6p/1p2r1P1/1P6/P1P1Bp1b/5P1P/6K1 b - - 0 36	6	3639
8/5pkp/5n1p/5P1P/8/6P1/5K2/3q1N2 b - - 1 50	6	3018
8/6qk/4Q3/r2B1p2/p6p/P7/3p1P1P/4R2K w - - 0 34	6	555
8/8/2p5/1pP5/6PP/6k1/P1p2R2/3b1K2 b - - 3 47	6	5707
8/8/7P/1P4k1/5p2/4p3/1r3p2/2R2K2 b - - 1 60	6	1103
8/8/k7/3p4/1P6/1r5P/6P1/q3RK2 b - - 1 45	6	4870
8/pQ3b2/2p2k2/2N1b3/2n5/P5P1/3q2BK/8 b - - 6 44	6	2981
k6r/p4ppp/Bpp4q/3Q4/P7/B1P2P2/7P/5R1K w - - 0 26	6	3554
r2q4/2pkbQ1p/p2pp3/3bP3/7n/1P3P2/1B4r1/RN3R1K b - - 0 22	6	3586
r3k3/1p2bp1Q/1pp1q2p/8/4p3/P7/1B4BP/3R1R1K w q - 1 33	6	1140
r4k2/1p2p1r1/7Q/B3N3/P7/1P1P2P1/4RPKP/3q4 w - - 1 31	6	2296
r5k1/1p3q1p/3P2p1/4Q1N1/8/8/pP3P1P/2R3K1 w - - 2 32	6	1213
1R6/5p1k/5Bp1/2b1P3/2pN1PP1/2Pb4/3PrK2/8 w - - 7 46	7	3346
1k3q2/p7/p1p5/P2PP3/5Q2/1P4P1/2r4r/3R2K1 b - - 1 52	7	4197
1k4R1/p7/1p2p3/1bppP3/3PpP2/PP6/1K2n3/4q1B1 b - - 3 51	7	2432
1r1r2k1/1b2bppp/p7/4pP2/n2qN3/P2BQ2P/K1P3P1/2B1R2R b - - 10 27	7	5823
1r4k1/1b3r1p/1pp2RpB/p7/P1PQP1q1/8/1P4B1/2R3K1 w - - 1 27	7	4636
2b1r1k1/6q1/p1N1ppp1/P3P3/1pp2P1Q/2P2B2/1P4K1/7R w - - 2 40	7	3419
2k5/5K2/3R4/8/8/8/8/8 w - - 3 104	7	4411
3r2k1/2R2pp1/4p3/4P2p/3q1P2/3Q1K1P/6P1/7R b - - 0 27	7	809
4R3/6pk/5p1p/1B3P2/2pNbK1Q/r7/8/6q1 b - - 12 53	7	825
4k2r/2rq1p2/Pp1p2pB/3Pb3/1Q1pP3/P7/5PK1/R7 b k - 1 30	7	2116
4k3/2pNP2p/3r2p1/pp3p2/8/6PP/r4PK1/3RR3 w - - 0 42	7	3727
4k3/R7/p2p1K2/3P4/2pNP1P1/8/r7/8 w - - 3 76	7	5222
4r2k/1p2bQ2/p1p1pn2/2Pp2pp/3P4/PPq1P1P1/5RPP/5RK1 w - - 1 24	7	5968
4rr1k/p1R3Rp/1p2pn1P/3pN1p1/3B2B1/P2b4/1n3PP1/6K1 w - - 0 32	7	1706
5r1k/p5p1/8/1P2Q3/4p1q1/2P1P1Pp/P7/4R1K1 b - - 1 34	7	4505
6k1/3R3p/6p1/r2Pp3/4Nb2/2R5/P4P2/2r2BK1 w - - 9 37	7	3910
8/1k6/3K4/8/8/5b1R/8/8 w - - 100 114	7	460
8/2k5/4K3/3R4/8/8/8/8 w - - 3 112	7	3695
8/5pk1/8/1p2PQ1P/1Ppr1p2/8/5PPK/8 w - - 1 44	7	3967
8/6k1/5pp1/2qP4/4PQ2/6PP/3r2NK/r2B4 b - - 3 53	7	5865
8/8/4p3/Pb4p1/6P1/1P1pk2P/1P6/3K4 b - - 0 47	7	1668
8/8/P7/1N1p1P2/7P/3pk3/5n2/2K5 b - - 8 64	7	1980
Q4b1r/4k1p1/p4p1p/3pnp2/8/p7/P4PPP/4R1K1 w - - 0 24	7	3793
b7/2kr2p1/8/8/3Pp3/4P2P/pK3PP1/8 b - - 1 47	7	2955
r1b1k3/1pp2rb1/q1P1n1Q1/p2Bp3/5P2/4P1BP/PP4P1/3R1RK1 w - - 3 32	7	1981
r1b5/1p3R2/2p4k/p2n3r/7R/P2B4/1P1K1PP1/6N1 w - - 6 31	7	3926
