# S024 verdict-1 H0 census. Regenerate with:
#   ~/.venv/chess/bin/python adocs/data/S024_census_run.py run <engine>
# One row per adocs/data/S024_census_positions.txt entry, depth 10, Hash 16 MB, ucinewgame between positions.
# writes = calls of history_on_quiet_cutoff(); writes_with_prev = those with prev_move != 0.
# reads = quiet-move score_move() evaluations; reads_with_prev = those where the continuation term is consulted; reads_nonzero = those where it is non-zero.
idx	game_index	ply	fen	nodes	elapsed_s	writes_total	writes_with_prev	reads_total	reads_with_prev	reads_nonzero
220	714	34	r3k2r/5pp1/p1nq3n/4p2P/1pbpP3/P5P1/1KPB1QB1/4R1NR w kq - 0 21	422976	0.05595588684082031	5381	5240	377851	366611	111820
221	319	53	6k1/2pn1p2/2r1p1pp/R1P5/p2rP3/P2P2P1/5P1P/2R2BK1 b - - 2 30	124109	0.01555776596069336	1931	1884	85862	82681	21088
222	744	39	r4rk1/6p1/1bq1p2p/ppN2p2/1n1P1n1B/P3RN1P/1P1Q1PP1/3R2K1 b - - 0 23	500561	0.0617375373840332	1297	1251	274807	247704	33844
223	938	110	8/5k2/8/5BK1/6PP/7r/8/8 w - - 3 59	40744	0.005417346954345703	3130	3077	59759	57890	13897
224	548	64	4b1k1/r4pp1/2p2b1p/8/8/3N3P/2P1NPP1/3R2K1 w - - 1 36	326718	0.039214134216308594	8268	8078	364288	355260	153129
225	873	66	r2r2k1/5p2/2p3p1/p3P2p/RnP5/1R3B1P/5PP1/6K1 w - - 2 37	141807	0.01648855209350586	1525	1460	104733	99198	19872
226	839	54	4r1kr/5q2/2p1p1p1/8/2RP2p1/6P1/5P1P/4R1KQ w - - 5 31	305729	0.04097914695739746	3941	3913	220230	213626	84235
227	165	74	7k/5p2/1p5p/5N2/5KQP/8/5bP1/q7 w - - 8 41	182601	0.02415156364440918	4662	4593	152737	149365	55811
228	932	41	2rr2k1/1p4b1/p1bp2pp/4pp2/1PPpP3/P2P1B1P/3B1PP1/2R1R1K1 b - - 1 24	119082	0.015285253524780273	1355	1328	81593	77017	14905
229	489	66	2R5/5ppk/3br3/8/6P1/1PR1P2B/1P1r4/6K1 w - - 3 37	146956	0.01901078224182129	2456	2396	117081	112646	36997
230	490	46	5rk1/p1p2pp1/2p4p/3qP3/8/1P1b1N1P/P2Q1PP1/2R3K1 w - - 9 27	135714	0.016238927841186523	942	917	95924	90390	11740
231	152	63	5rk1/5pp1/2B4p/q7/p3Q3/Pb2P2P/5PP1/5RK1 b - - 4 35	326338	0.04163670539855957	5727	5612	332609	323666	122231
232	711	37	2b2rk1/rpq2pp1/3b3p/PR1Bp3/8/2B2QP1/P4P1P/3R2K1 b - - 5 22	944087	0.1341872215270996	5410	5243	548836	537117	147633
233	306	70	3r2k1/rb2qp1p/3b2p1/2p1p3/1pQ1P1B1/PR1P2PP/5P1N/1R4K1 w - - 4 39	597999	0.07752299308776855	6593	6457	474964	463274	132033
234	960	64	8/1p3k2/5bpp/r1ppr3/p2N2P1/P1P1PP2/1P2R1K1/7R w - - 0 36	151091	0.01906299591064453	1672	1601	106136	99376	27673
235	435	65	6k1/2r3bp/1Qqp4/P1p1p3/1p6/3P1PPP/6K1/R4R2 b - - 4 36	106851	0.013531923294067383	1656	1582	83084	78397	10855
236	498	101	8/2R5/8/4rp2/2B1pk2/4p3/6K1/8 b - - 15 54	99607	0.01323246955871582	6217	6117	145012	141980	45967
237	586	50	5rk1/1p2q2p/p4ppQ/2bR4/P3r3/4PN1P/1P3PP1/5RK1 w - - 0 29	551659	0.06960654258728027	3052	2968	345680	336692	98586
238	148	115	8/6k1/5p2/6pR/5r2/8/4K2P/8 b - - 5 61	83259	0.010985374450683594	5112	5065	103482	101510	40717
239	359	60	4r2k/2Q4p/8/3p4/pP4p1/P7/3N1q2/2RK4 w - - 5 34	270297	0.03548145294189453	5720	5652	251692	246273	91795
240	315	75	r4k2/1B4p1/5p1p/5P2/2p2P2/P1P1R1P1/3n1K1P/8 b - - 0 41	102307	0.014068841934204102	2788	2760	94616	92389	32248
241	520	19	r1b1k2r/ppqn1ppp/4p3/3p4/P2PN1nP/1P3Nb1/1B2PPP1/2RQKB1R b Kkq - 6 13	117738	0.015010833740234375	745	722	73266	64762	5751
242	502	46	r6k/p1p3pp/4qp2/p4B2/Pn1P4/8/1PQ2PPP/R5K1 w - - 6 27	159747	0.023480653762817383	1396	1322	118837	113355	27790
243	785	68	6k1/5p1p/1p3pp1/3q4/1P1b4/P2Q1R1P/6K1/8 w - - 4 38	179197	0.02425694465637207	6000	5913	231919	227478	78545
244	89	59	1r4k1/4r2p/1p1P2p1/2p1qp2/2P1Pp2/PR6/6PP/3QR1K1 b - - 0 33	143517	0.01727771759033203	923	865	93545	84640	9844
245	474	37	2r1rbk1/1pqb1p2/3p1npp/p2Np3/P1P1P3/1Q3NP1/1P3PBP/3RR1K1 b - - 0 22	105319	0.013239383697509766	846	835	74014	69914	8331
246	546	35	1q4kr/5pp1/3b1n1p/2n5/3Q4/2N2P2/1PB2PPP/2B1R1K1 b - - 0 21	206488	0.025178909301757812	1464	1444	157872	147544	23414
247	749	46	5rk1/5ppp/6r1/1pP1P3/p1RP4/q3PQ2/P4RPP/6K1 w - b6 0 27	109178	0.01361989974975586	964	953	77332	69325	10996
248	579	46	r5k1/1pp1r1pp/8/B2P1p2/5P2/3P4/PP1KBnPP/4R3 w - - 3 27	126353	0.015352487564086914	850	821	78113	73738	14400
249	759	47	6k1/p4ppp/1p1bp1n1/q7/P3Q3/2P1BN1P/1P3PP1/6K1 b - - 7 27	231819	0.029903173446655273	3540	3448	200606	192269	40520
250	408	66	8/p1p2p1p/6pP/1P5k/5Q2/4P1P1/1q5K/8 w - - 0 37	20956	0.003345966339111328	640	611	19134	18491	3266
251	583	36	r3r1k1/1p1b2pp/p3pp2/q1np4/P2B4/2bBP2P/2PNQPP1/R3R1K1 w - - 2 22	245858	0.03126120567321777	1362	1330	150163	140813	24161
252	905	39	3r1bk1/2p2p1p/1p2rnp1/pP3p2/P2P1P2/2P1P1PP/5KB1/R1B2R2 b - - 0 23	223929	0.026196956634521484	2921	2812	169233	160347	22264
253	985	71	8/2p2pk1/2r4p/2P3pP/3r2P1/5P2/2R3K1/R7 b - - 0 39	232237	0.02795553207397461	7695	7581	276970	272313	122810
254	430	30	r2r2k1/1p2npp1/1b2b2p/p1qpP3/6n1/PPNB1N2/1BQ1RPPP/5RK1 w - - 5 19	394743	0.05064678192138672	1911	1825	236818	225217	30789
255	90	48	6k1/pp3p2/5p2/5B2/PPp1R1P1/2P3b1/3r4/5K2 w - - 1 28	98585	0.01199650764465332	2246	2209	85393	82546	25613
256	230	92	8/6kp/1R6/1p1p2p1/3r2P1/8/7P/5K2 w - - 0 50	71435	0.008869647979736328	2567	2547	64120	61943	16685
257	377	52	r5k1/5pp1/2R1p3/1p1r1nN1/1P1p1P1p/P7/5BPP/R5K1 w - - 0 30	442636	0.05248594284057617	6459	6229	325971	307570	84649
258	120	91	r6r/1b1n1pk1/1p1p2p1/2p1p1q1/2P1P3/P2P3R/5PB1/1RBQ2K1 b - - 9 49	161040	0.01997065544128418	1076	1021	109776	100250	11372
259	954	38	3r1rk1/2p1qpp1/B1p4p/2Pppb2/Pb1P4/1Pn1P3/1B3PPP/2RQ1RK1 w - - 0 23	110552	0.014775514602661133	1249	1244	85357	81486	14526
260	834	45	r2b2k1/5ppp/p3p3/4N3/P2BnP2/2r3P1/1R5P/5RK1 b - - 1 26	138616	0.017075300216674805	1138	1097	97509	91163	13207
261	734	37	1r2r1k1/1p3p1p/p5pb/4P3/1pP1P1b1/3Rq1P1/PPQ1NRBP/6K1 b - - 1 22	275216	0.03583788871765137	1600	1547	180577	173775	40871
262	197	53	3r3k/8/p2NB1p1/1pp1n3/2Pb4/P2Pq1P1/6QP/5R1K b - - 2 30	375997	0.04968714714050293	3758	3721	277780	267936	60318
263	143	135	8/4qp2/6k1/6p1/3p2P1/bQ1P4/Bp3PK1/8 b - - 33 71	154365	0.020542621612548828	3103	3004	109549	104163	34741
264	104	42	r2q2k1/5pp1/pp1Nr2p/3Q3P/2p1NPn1/P3P3/1b4P1/3R2KR w - - 1 25	334790	0.040668487548828125	617	573	187251	172996	10452
265	996	46	5rk1/1p2ppbp/p5p1/P7/2R5/3r3P/1P1BNPP1/n2R2K1 w - - 2 27	265542	0.030575275421142578	1622	1514	186319	174986	33170
266	852	24	2krr3/ppp2pbp/4bpp1/7q/1P6/P1NP1N1P/2P1QPP1/R5KR w - - 1 16	581834	0.07196784019470215	6340	6152	469872	457015	131720
267	221	43	r1b2rk1/1pnq1ppp/8/2R5/1P1NQ3/p7/P2B2PP/4R1K1 b - - 4 25	248408	0.0326077938079834	2195	2151	195299	188904	44149
268	361	50	r5k1/p1p2pp1/3b1n1p/n2pNR2/1p1P4/1PB3P1/P4P1P/2R3K1 w - - 0 29	260599	0.03353404998779297	1855	1799	156976	148683	36230
269	46	76	8/R1R2ppk/8/7p/5r2/2P2P2/2r3P1/6K1 w - - 2 42	180497	0.022351980209350586	3809	3683	151048	145736	43041
270	857	25	r1bqk1r1/1p3p1p/2n1pnpQ/p7/3p4/1P3N1P/PBP1BPP1/R4RK1 b q - 1 16	693255	0.09770441055297852	5230	5004	458826	444916	140761
271	403	42	1r2r1k1/3b1p1p/ppqp2p1/2p1b3/1PPpPB2/P2P1B1P/3Q1PP1/1R2R1K1 w - - 0 25	1375981	0.1757516860961914	9837	9514	874899	853024	220540
272	169	58	2q3r1/k2r1pQ1/1p4p1/3pP1B1/2nP4/P5P1/7P/4RRK1 w - - 8 33	264111	0.03454279899597168	3433	3346	208101	201577	54982
273	135	36	r3r1k1/1b3p2/pp1q3p/3p1npN/P7/3P2P1/2P1QPBP/1R2R1K1 w - - 2 22	90670	0.011866569519042969	412	407	53166	48316	5838
274	337	35	r4rk1/4bppp/1p1qpn2/pp6/3P1P2/P2NP3/3BQ1PP/1R3RK1 b - - 1 21	357687	0.044728994369506836	2768	2667	259923	250130	51107
275	952	41	3r2k1/1pq2pp1/pN2b2p/P1p3r1/8/1P1P2P1/2P1QP1P/R3R1K1 b - - 6 24	416591	0.05156755447387695	4632	4517	346317	335071	89363
276	216	64	5r2/2k3p1/1p2p2p/2p2n1P/2P1p1B1/P1R1P3/4K1P1/8 w - - 16 36	228402	0.028447866439819336	6615	6486	209897	206041	80284
277	690	63	8/r4pp1/p1p3k1/P2nP2p/2R1NP2/6K1/1P5P/8 b - - 2 35	63673	0.008601188659667969	1220	1166	45529	42229	6249
278	54	40	1k1rr3/1p3ppp/p7/2pn4/P2Pq3/1Pb1PN2/RB3PPP/3Q1RK1 w - - 4 24	454022	0.05841517448425293	1462	1411	236187	230603	36762
279	350	54	5rk1/6np/pq2p3/2pbp3/6Q1/1P5P/3N1PB1/3R2K1 w - - 0 31	527322	0.06837010383605957	4334	4221	340297	331967	81625
280	213	48	6k1/4p2p/5bp1/2P2p2/2r5/3R3P/2PR3P/6K1 w - - 0 28	289786	0.03312373161315918	6955	6738	280831	268845	91861
281	914	32	1r3rk1/pQp2p1p/6p1/4b2b/2P4q/P2B3P/1P2NPP1/R3R1K1 w - - 1 20	272108	0.03512859344482422	1076	1038	154064	147802	27679
282	877	38	r3r1k1/3n1pp1/1pp1p1np/p2qP3/P1NP2PP/2Q2NB1/1P3P2/4R1K1 w - - 3 23	251069	0.032448768615722656	965	940	127856	120415	17513
283	395	99	8/8/4kpp1/7p/7P/B1bp1P2/6P1/3K4 b - - 4 53	61597	0.007891416549682617	2193	2110	52993	50943	12529
284	995	45	4r1k1/1p1r1pbp/pR3np1/P2pp3/3P3q/2N1Q2P/1PP2PP1/3R1BK1 b - - 1 26	487483	0.06186056137084961	1398	1339	260201	250629	45216
285	955	33	q1b2rk1/P1p2pp1/5n1p/2bp4/R6N/1PP1P2P/3NBPP1/2B2RK1 b - - 2 20	189368	0.022584915161132812	1187	1167	134642	124346	12087
286	594	41	r4r1k/pb5p/1p6/2b1R3/2Pp4/3P4/PB3PPP/5RK1 b - - 0 24	135456	0.017165660858154297	2066	2050	115295	110648	25937
287	354	44	2r1r1k1/5ppp/1p4q1/pP1np3/P1PpN3/R2P1P2/2Q3PP/4R1K1 w - - 3 26	373564	0.0470883846282959	5185	5071	314972	304414	73065
288	909	100	8/8/1b6/1P5p/P4kp1/3B4/4K2P/8 w - - 1 54	102914	0.011873245239257812	4277	4161	100943	97789	36495
289	752	67	5b2/R4kp1/4bp1p/2pp4/4n2N/8/5PPP/B5K1 b - - 5 37	101642	0.012629270553588867	2181	2131	87144	84648	23952
290	357	22	r4rk1/1bp1qpbp/pp2p1p1/n2pPn2/3P1B2/PPN2N2/2PQBPPP/R3R1K1 w - - 3 15	204773	0.027096271514892578	1694	1654	148348	140450	23238
291	6	43	2r3kr/p5p1/5n2/3p3p/2qN1Pn1/P1B1PQ2/1PP5/2KR3R b - - 0 25	201135	0.028139114379882812	1228	1207	114735	108201	11694
292	57	56	6k1/1p3ppp/2p1n3/r3B3/7P/2P2PP1/2PK4/3R4 w - - 3 32	195472	0.024309635162353516	6930	6830	238433	233953	86664
293	78	74	8/1R6/p5k1/3p1p2/3P3p/2b4P/6P1/6K1 w - - 1 41	26650	0.0036008358001708984	859	842	26761	24758	4495
294	452	35	r4rk1/1b1q2bp/4ppp1/Rp6/NPpPpPN1/4P3/1BPQ2PP/5RK1 b - - 0 21	291120	0.040715694427490234	3203	3170	212682	206494	58111
295	833	128	8/8/4k1pp/1p6/p1p3PP/P1P1r3/1P3R1K/8 w - - 1 68	48229	0.0063745975494384766	1475	1426	40461	38682	9572
296	816	48	r5k1/p1R2p1p/1p2p3/1Pb5/7R/4P1P1/P2n1K1P/8 w - - 1 28	166053	0.020873546600341797	2190	2147	107957	104248	22078
297	293	28	r3r1k1/1pq2ppp/p1n2n2/2p5/2Pp2b1/N2P1NP1/PP1QBP1P/R3R1K1 w - - 5 18	581883	0.08112335205078125	5552	5449	422310	412322	102767
298	553	50	1r3r1k/p2q1pb1/2p4p/4P2p/P2B4/2Q4P/1P2N1P1/R5K1 w - - 3 29	1036472	0.14672613143920898	7209	6958	605418	588647	220497
299	45	77	8/4kpp1/p3r2p/1p1p4/4n1P1/2P2K1P/1P6/R4B2 b - - 8 42	237092	0.02908635139465332	5139	5052	183445	176957	45005
300	229	38	1k2r3/pppq1p1Q/3b3p/5p2/1P6/P4BP1/5PKP/2R5 w - - 0 23	627534	0.07847785949707031	4264	4139	414128	400947	136133
301	562	75	3r2k1/5pp1/8/1Nn1p2p/P3N2P/5PP1/2n3K1/1R6 b - - 4 41	180419	0.020811080932617188	3325	3272	150618	144020	37806
302	858	28	rnb1k1r1/1p2q1bp/6p1/4pp2/P1Ppn3/1N1B1N1P/PBQ2PP1/R4RK1 w q - 2 18	1081887	0.1461925506591797	4826	4701	627733	605816	150519
303	364	64	4r1k1/5ppp/p7/4P3/4Q3/1P4P1/P4P1P/3qB1K1 w - - 5 36	183302	0.02188253402709961	2697	2604	155728	150849	40297
304	694	92	1r3r2/4k3/1p1p3p/pRpPp1pP/P3P1P1/5P2/1P3K2/2R5 w - - 7 50	307117	0.03540825843811035	8735	8499	261674	254057	101629
305	119	61	2N3k1/6pp/p1b2p2/2p5/2P4P/3K2P1/P4P2/8 b - - 2 34	40267	0.0050318241119384766	1502	1420	40983	38033	5833
306	726	36	3r1rk1/2q1bppp/p1p5/2P1pP1b/N3Q3/2B5/PP4PP/2R2R1K w - - 1 22	239824	0.029081106185913086	2016	1990	182617	175427	36693
307	424	102	4rR2/3bP3/8/8/1B2p2p/4P2k/3K4/8 w - - 6 55	77320	0.009203195571899414	2309	2272	67395	63464	12340
308	921	45	1r2r1k1/1q2bp1p/p5p1/3b4/2pB1Pn1/P1P3NP/BP1Q2P1/3RR1K1 b - - 0 26	262689	0.036856651306152344	1105	1041	148583	130629	23409
309	672	69	8/6pp/4p2k/rB2P3/pR5P/Pb2P3/5PK1/8 b - - 6 38	157355	0.019690513610839844	3586	3526	112918	110411	38107
310	997	102	r4k2/1b3p1B/2p1p2p/1p2P2P/r2P4/P1R3R1/3K4/8 w - - 8 55	86923	0.010200262069702148	979	919	60238	52629	4981
311	484	35	r1br2k1/1p5p/2p3p1/p4p2/4P3/PR4P1/5PBP/1R4K1 b - - 0 21	272736	0.032895565032958984	4085	4004	235515	227895	56836
312	721	49	2rn2k1/1p2b3/pB4pp/4p3/1P1pP3/P2P4/4N1PP/2R3K1 b - - 2 28	45545	0.005953311920166016	1169	1153	39927	37204	5741
313	5	40	1r1q2k1/1pbn1pp1/pr5p/7Q/1P1PP3/5P2/P2BN1P1/2R1K2R w - - 0 24	969990	0.13049721717834473	8552	8299	685272	667174	244265
314	147	45	2rq1rk1/3n1ppp/np2p3/p2pP3/BP1N1Q2/P1P2P1P/6P1/2R1R1K1 b - - 0 26	850549	0.11529970169067383	4598	4483	432069	423489	146735
315	48	29	1n3rk1/1rq2pp1/2pb3p/2Pp1p2/P2Pn3/4PN2/2QN1PPP/1R3RK1 b - - 0 18	164641	0.01988816261291504	575	561	96545	87591	7394
316	653	54	2r1br2/2p3k1/p3p2p/1p1pPpp1/8/P1P1P1PP/1P2BP2/R2R2K1 w - - 5 31	550917	0.07704043388366699	17644	17380	678865	666980	295287
317	878	47	2rr2k1/1p1q1ppp/1bb1p3/p3P3/P1RP1P2/3B1N2/1P4PP/2R2Q1K b - - 8 27	241706	0.03152179718017578	1438	1409	139190	134205	22879
318	844	53	2r2b1k/1p5p/p3p1p1/P3P3/2n1P3/2BP1N2/6PP/1R5K b - - 0 30	86090	0.010491132736206055	1192	1154	66288	60364	11130
319	523	44	4k3/ppr1pp2/6p1/4p3/1P2n3/P3P1P1/3NKPb1/R1B5 w - - 1 26	103193	0.013101816177368164	2365	2323	94304	91169	27185
320	804	46	3r1rk1/qpp1n2p/p4bp1/2PpN1N1/1P1P1P1n/P7/1B4QP/4RR1K w - - 4 27	246213	0.03850269317626953	2142	2109	170151	161918	30223
321	657	149	B7/3b4/8/8/5k1p/6p1/6P1/5K2 b - - 43 78	45803	0.005955696105957031	2730	2681	47902	45642	10995
322	799	117	k7/6R1/3B2p1/1p4P1/2b5/2r5/8/1K6 b - - 0 62	148498	0.018299102783203125	4970	4882	146948	143359	52753
323	85	63	2r4k/1p2p3/p2p3p/3PnR1P/2p1P1r1/P1N1R1p1/1PP3P1/6K1 b - - 1 35	131854	0.01571798324584961	1594	1528	99060	94010	16520
324	766	38	r5k1/1b3pp1/pPp4p/1p4r1/3pPq2/P2B2P1/1PQ2P1P/R4RK1 w - - 1 23	551519	0.07306551933288574	7405	7273	437122	428362	148600
325	568	48	4r1kr/1p3p2/pq1b2p1/2pP1pP1/Pn3P2/1P2P2P/3QN1B1/R3R1K1 w - - 1 28	489179	0.06620550155639648	4830	4709	347494	337130	85677
326	755	59	r3r1k1/1p1b1pp1/pq1p1n1p/1P2pP2/P1PpP3/1Q1Pb1PP/1BN1B1K1/R4R2 b - - 12 33	358500	0.04642963409423828	2328	2279	228541	217586	42823
327	674	35	r3r1k1/pp1bbp2/5npB/6N1/3RP2P/5Q1P/q4PB1/5RK1 b - - 0 21	669827	0.09504294395446777	4670	4532	426065	413721	137007
328	518	29	r1b1k2r/2pqn1p1/p7/np2N1Pp/3pN3/P2P2P1/1PQ1P3/2R1KB1R b Kkq - 2 18	144913	0.01831984519958496	784	710	98138	91603	15040
329	325	86	R7/5ppk/pr5p/1p6/1P1N1bP1/P2b1P1P/1B3K2/8 w - - 11 47	236305	0.029624223709106445	4694	4599	208220	202521	73954
330	612	54	3r4/2p3pk/R1n2r1p/1p1ppb2/1P2p3/2B1P1PP/2P2PB1/3R2K1 w - - 2 31	122145	0.014676332473754883	615	606	70225	63910	2653
331	538	31	r1b2r1k/4q1p1/p1n1pn1p/3pp3/R7/1NP1P2N/1P2B1PP/3Q1RK1 b - - 0 19	344495	0.04351329803466797	3127	3074	270070	259735	61783
332	238	49	r1r5/3R2pk/4pp1p/p1Bp4/3Pn3/3NPKP1/PP3P1b/R7 b - - 7 28	394742	0.0451657772064209	3102	2982	256534	248897	51956
333	446	37	3r3k/1pq3pp/p1n1p1b1/3p4/1PPPpr2/P3N2P/1B2B1K1/R2Q1R2 b - - 1 22	1214506	0.15740132331848145	4881	4710	700091	676554	157683
334	396	56	r4rk1/1p4p1/pPp1pbqp/2Pp1p1b/P2P1P2/4P1P1/1BQ3BP/R3R1K1 w - - 3 32	322191	0.040201425552368164	9140	9015	411682	400911	97985
335	968	93	8/R4p2/4p2k/4P1Pp/8/6PK/4r3/8 b - - 0 50	31122	0.004075050354003906	692	684	21377	20929	3661
336	436	74	8/5kp1/1p3p2/3pn2p/1P1N3P/3nPP2/4K1P1/4B3 w - - 1 41	72336	0.00944972038269043	1529	1494	51835	49563	13859
337	692	87	8/5pk1/6pp/3r4/1R5P/5PK1/5P2/8 b - - 0 47	71226	0.009222745895385742	3702	3653	92024	89038	22024
338	27	70	3Q1bk1/5p1p/p5p1/1b6/3pB3/2qP3P/5PP1/1R4K1 w - - 4 39	191977	0.022512435913085938	1240	1181	127692	120299	22350
339	455	46	r1r1b1k1/2p1q1bp/1p3np1/5p2/p2PP3/P2Q1NN1/1P1B3P/2R2RK1 w - - 0 27	336851	0.047969818115234375	1271	1241	165580	152731	24250
340	929	43	r2r3k/1p4p1/p7/B2nbB2/8/P2p2N1/1P3PPP/3R2K1 b - - 7 25	148587	0.019248247146606445	1144	1101	104860	97614	15233
341	188	48	5rk1/5pp1/1p1p3p/p2P4/R3Q3/b1P2BP1/5PKP/q7 w - - 0 28	231955	0.02793741226196289	3277	3147	199449	192002	53113
342	362	20	r3k2r/pp1qbp2/2n2np1/2p5/P4N1p/4N1P1/1PPP1P1P/R1BQK2R w KQkq - 2 14	469093	0.06220221519470215	5179	5007	403297	389580	104937
343	683	52	2k2b1r/5ppp/p1p3n1/1p3N2/8/1n4BP/3R1PP1/R5K1 w - - 1 30	117833	0.014274835586547852	1249	1213	80250	71425	12975
344	137	58	8/2p2rk1/ppQ1pq1p/P3R3/3P1p2/2P3P1/7P/6K1 w - - 0 33	738793	0.09736919403076172	8769	8670	489685	467785	184323
345	321	41	r2r2k1/2q2ppp/p1p4n/4pPN1/1b2P3/P2bBQ1P/1P1N2P1/R3R1K1 b - - 0 24	549693	0.0787348747253418	3549	3470	325773	309842	78655
346	560	119	8/8/4R3/r5p1/3k1p1p/5P1P/6K1/8 b - - 13 63	83216	0.010684728622436523	6072	6001	127937	124914	45690
347	468	50	5r2/2pQ1p1p/6pk/qp2P3/1b1P4/4N3/5PPP/1R4K1 w - - 0 29	297965	0.03597378730773926	3052	2992	197203	186758	45539
348	654	44	1r3rk1/5ppp/3p1b2/p1pP4/2B2P2/1P3P1P/P7/3RR1K1 w - - 0 26	393915	0.04787445068359375	11075	10910	465663	455437	213892
349	417	27	r1b2rk1/1p2n1pp/1q2p3/p2pNn2/P2p1B1b/N1PB3P/1PQ2PP1/R3R1K1 b - - 1 17	1201244	0.1741349697113037	5602	5499	648837	636224	213654
350	43	62	5k2/5ppp/p3p3/1p1b2P1/1P1P4/P3R3/2r1BPPK/8 w - - 5 35	82698	0.010501623153686523	1011	967	58016	53737	11955
351	963	39	3rrk2/pp3pp1/1n1p3b/3Ppq2/4N3/PP1QP1R1/1B3P2/1K5R b - - 0 23	144579	0.018454551696777344	870	825	94325	87324	9881
352	899	84	4r3/1b1q1p1k/p2P1np1/1p5p/1P3bPN/P1NQ1P1P/3R1B2/6K1 w - - 2 46	313215	0.04031872749328613	899	839	164476	150365	16089
353	40	53	2Q2r1k/p2Pq1p1/4Bb1p/8/8/r4N2/5PPP/2R3K1 b - - 6 30	774714	0.10148119926452637	9780	9612	527672	514644	186092
354	826	31	3r2kr/pp2qppp/2p3b1/3p4/1P1NnQ2/P2BPP2/2P3PP/R3R1K1 b - - 0 19	200493	0.025226116180419922	1400	1331	135444	124811	19919
355	11	46	2r3kr/1b1p2pp/p3p3/RpPn1p2/3Pn2q/3NP2P/1Q1NBPP1/R5K1 w - - 15 27	394126	0.049527883529663086	1953	1908	246560	235880	29902
356	948	112	8/5p2/2R5/7k/p6P/7K/8/r7 w - - 2 60	60886	0.007569551467895508	4030	3976	78875	76130	22605
357	900	54	6k1/p4p2/4p2p/6pB/r3P3/P5P1/2N4P/5K2 w - - 5 31	142849	0.017000198364257812	5069	4936	154387	149620	51313
358	986	49	2r3k1/1p3pp1/p2nq2p/3p4/1PrB1R2/P2QP3/2P3PP/2R4K b - - 3 28	416058	0.058553218841552734	4309	4248	304035	296451	89122
359	79	60	4r3/pp4pk/1q6/2p1bp1P/3r4/P2P3R/1PPN4/1KQ1R3 w - - 2 34	193926	0.0248105525970459	1215	1198	130682	125911	21109
360	574	67	1r2q3/7k/p1pN1b2/6p1/2pPQ3/6P1/PP1R3P/6K1 b - - 4 37	44384	0.005877017974853516	1250	1242	43201	41993	8161
361	55	57	8/kpp1b3/p7/3P1R2/Pn1P2r1/2N5/1P6/2K2B2 b - - 10 32	159005	0.020241260528564453	2809	2774	120216	115361	26064
362	860	40	2k1r3/1pbq1ppp/8/2Q5/1P2pB2/2P3P1/P4P1P/5RK1 w - - 0 24	259495	0.030762434005737305	2753	2676	191100	184548	44275
363	911	72	4q1k1/6p1/p1p4p/2P2Q2/1P4P1/P6K/7P/8 w - - 3 40	86051	0.012671947479248047	2886	2803	85054	81421	27939
364	133	29	r4rk1/5pp1/1qnb1n2/3p4/Rp1Pp2P/2P1P1N1/1P2NPP1/2BQK2R b K - 0 18	733006	0.10384035110473633	5465	5333	427722	415947	120689
365	919	44	2r3k1/1p4pp/p3b3/4p3/6PN/P7/1PPK1rB1/R3R3 w - - 1 26	176425	0.019897937774658203	1457	1439	98130	96640	18445
366	307	63	8/4p2p/p3pkpB/3n4/PR6/3P1P2/5K1P/8 b - - 0 35	18058	0.002701282501220703	786	768	16159	15216	2422
367	476	58	2r5/5k2/p3pb2/2pr4/2N3p1/1PK1B3/P4PP1/7R w - - 6 33	103942	0.013216733932495117	1981	1954	102661	101212	25801
368	81	30	r2q4/3bbkp1/2n1p3/p1ppP3/1p5n/P1PP2B1/1PQN1PP1/1K1R3R w - - 0 19	499611	0.06643319129943848	2089	2015	250564	237311	53610
369	465	46	r2r4/pp3Npk/5b2/nNp5/P1P1R3/8/1P3PPP/R5K1 w - - 4 27	360368	0.043900251388549805	3905	3877	251110	235116	76103
370	217	52	3r1rk1/5pp1/p1p4p/8/1P2N3/3Pn1P1/3R3P/5R1K w - - 2 30	171425	0.019971847534179688	2376	2326	139557	133729	40751
371	469	21	r2qkb1r/ppp2p2/2n1pn2/3p1b2/3P2N1/4P1B1/PPPNBPP1/R2Q1RK1 b kq - 0 14	1175818	0.1630859375	11370	11225	888345	870143	257256
372	201	26	r1br2k1/1pq1bp2/p1n2p2/2p1p1N1/P2pP3/2PP3P/1P3PB1/R1BQ1RK1 w - - 0 17	196038	0.026715517044067383	1667	1611	118742	109327	20755
373	36	81	8/6R1/p4p2/7k/1B2Pb2/r4P2/4KP2/8 b - - 3 44	128797	0.016138315200805664	4036	3952	132864	128732	39393
374	992	38	r2r2k1/q2bb1p1/p1n1p2p/1p1p1pP1/3P3P/P2QPN2/3B1PB1/1R2R1K1 w - f6 0 23	1001317	0.1313023567199707	12114	11816	831598	809483	233283
375	23	91	8/5pB1/2k1p1p1/1pPbP3/1P1Pp3/4K1P1/6P1/8 b - - 14 49	30458	0.0041353702545166016	1895	1831	33291	31808	7941
376	151	34	3r1rk1/2p4p/b3N1pb/2p2n2/pPq5/P4N2/1BP2PPP/RQ2R1K1 w - - 0 21	193593	0.024487972259521484	700	684	120636	113412	14847
