# S222 phase-three census: the one-ply continuation table's use on the FITTED
# build, taken so the shares stand beside S024's 97.56 / 96.19 / 27.14 %, with
# a same-tree control at the incumbent vector so the movement is attributed
# rather than explained.
#
# WHAT THIS IS. `adocs/data/S024_census_run.py run <engine>` over the same 400
# positions of `adocs/data/S024_census_positions.txt` -- one per game from
# `adocs/data/S219_aa_calibration.pgn`, `random.Random(24)` shuffle, each
# game's own midpoint ply -- at depth 10, Hash 16, `ucinewgame` between
# positions, driven through one persistent UCI process. The script is S024's
# unchanged; only the binary under it is new.
#
# THE BINARY. S222's fitted `src/search_params.hpp` -- the SPSA lane of
# 2026-09-14, `adocs/data/S222_spsa_trajectory.tsv` -- with S024's five
# throwaway counters patched back in. Built in a detached worktree at
# `bdd82cc` (S222 phase two's tree) with the fitted header copied in and the
# five counters added; `cmake -DCMAKE_BUILD_TYPE=Release`, its own `build/`,
# the real tree's never touched, the worktree removed after the run. The
# instrumentation is not in the shipping engine and never was: an
# `info string cont_hist_census` line is not on the UCI surface
# `tests/test_uci_surface.cpp` guards. The exact diff is at the bottom of this
# file, so the run is reproducible without it having to exist in the tree.
#
# THE CONTROL, AND WHY IT IS HERE. Held against S024 alone the non-zero share
# fell eight points, and the obvious reading -- that the fitted scale writes a
# thinner table -- is an argument and not a measurement. So the same
# instrumented binary was rebuilt with `bdd82cc`'s own incumbent
# `search_params.hpp` and the same 400 positions re-run, which separates the
# vector from the tree: S109's pruning block and S091's capture rules landed
# between S024's census and this one, and the tree here is a third of the size
# (30.5 M nodes against 112.6 M over the same positions). Both summaries are
# below. **The fit is not what moved it**: at the incumbent vector on this tree
# the non-zero share is 18.94 %, at the fitted vector 19.15 %, so the fitted
# vector reads a non-zero entry slightly **more** often, by 0.21 points, and
# the whole of the eight-point fall belongs to the smaller tree.
#
# THE READING, beside S024's. Writes that have a previous move to index
# 96.62 % against 97.56 %; quiet `score_move()` evaluations that consult the
# continuation term 95.15 % against 96.19 %; of those, the share reading a
# non-zero entry 19.15 % against 27.14 %, of which none is the fit's doing per
# the control above. The first two are the same profile S024 measured and the
# small remainder is still exactly the root ply and the node after a null
# move; the per-position spread is 2.04 % to 38.88 %, median 17.12 %, so no
# handful of positions carries the average. What this census can say is what
# S024's said: the table is consulted on nearly every quiet score and returns
# a real number on a substantial share of those, so a verdict on the fitted
# vector is not a verdict on inert wiring. It is not a strength measurement
# and nothing here reads it as one (DEC-019); `adocs/data/S222_sprt.sh`
# decides the step.
#
# SUMMARY, FITTED VECTOR, as the script printed it:
#
#   positions: 400
#   total nodes: 30474552
#   wall time: 9.2 s
#   writes_total: 1004818  writes_with_prev: 970896  share: 96.6241%
#   reads_total: 60674017  reads_with_prev: 57733854  share: 95.1542%
#   reads_nonzero: 11055397  of reads_with_prev: 57733854  share: 19.1489%
#   per-position reads_nonzero/reads_with_prev share: min 2.0426%  median 17.1180%  max 38.8845%
#
#   S024-CENSUS-DONE
#
# SUMMARY, INCUMBENT VECTOR, same binary rebuilt with `bdd82cc`'s own
# `src/search_params.hpp`, same 400 positions, same depth and hash:
#
#   positions: 400
#   total nodes: 30507851
#   wall time: 9.2 s
#   writes_total: 997285  writes_with_prev: 963962  share: 96.6586%
#   reads_total: 60176212  reads_with_prev: 57253220  share: 95.1426%
#   reads_nonzero: 10845052  of reads_with_prev: 57253220  share: 18.9423%
#   per-position reads_nonzero/reads_with_prev share: min 2.2590%  median 17.0027%  max 37.8323%
#
#   S024-CENSUS-DONE
#
# Rows of the FITTED run, one per position, from the S024 script above:
#   ~/.venv/chess/bin/python adocs/data/S024_census_run.py run <engine>
# One row per adocs/data/S024_census_positions.txt entry, depth 10, Hash 16 MB, ucinewgame between positions.
# writes = calls of history_on_quiet_cutoff(); writes_with_prev = those with prev_move != 0.
# reads = quiet-move score_move() evaluations; reads_with_prev = those where the continuation term is consulted; reads_nonzero = those where it is non-zero.
idx	game_index	ply	fen	nodes	elapsed_s	writes_total	writes_with_prev	reads_total	reads_with_prev	reads_nonzero
24	302	32	r4rk1/3b1pb1/p3p2p/q2pPn1P/Np3P2/1P6/PBP1Q1B1/1K1R3R w - - 1 20	131566	0.039954423904418945	2726	2536	276437	262831	49391
25	499	80	5k2/1R3p2/p3rp1p/8/3PK2P/8/P7/8 w - - 5 44	54654	0.010108470916748047	3070	2999	78547	76663	21583
26	122	149	4k3/8/6p1/3K2Bp/R3P1rP/5b2/8/8 b - - 24 78	82187	0.01674342155456543	5134	5017	148020	144347	46361
27	837	54	2r2rk1/3b3p/1pR3p1/NPbpP3/n2B1p2/8/5PPP/2RB2K1 w - - 1 31	70777	0.018819808959960938	813	797	112962	106542	8269
28	763	24	r1bqr1k1/pp3ppp/3b1n2/3p4/1PP1p3/P5P1/1B2NPBP/R2Q1RK1 w - - 0 16	81777	0.02478647232055664	1647	1604	153915	143334	23190
29	609	66	r5k1/5pp1/1n1p4/p6p/1N1R4/P6P/1P3PPK/8 w - - 0 37	73663	0.015210390090942383	3133	3040	129071	122725	29088
30	275	70	8/1p1k1p2/pP1p1n1r/2pPp3/2P1P2p/P4R2/5PP1/4R1K1 w - - 2 39	103407	0.021103382110595703	5638	5377	173955	166156	49768
31	279	102	8/1b3k2/p6p/R1P4P/5P2/3B4/5K2/7r w - - 0 55	38278	0.0077702999114990234	1731	1710	57215	53907	9654
32	567	51	2r2k2/5bpp/5p2/R3n3/P3BNP1/7P/5P2/6K1 b - - 4 29	34247	0.008487939834594727	1012	1001	57130	51908	9206
33	411	116	2B5/8/4p2P/3p2pk/1P1b4/8/2K5/8 w - - 2 62	27505	0.004945516586303711	1791	1750	44563	42695	6635
34	199	36	r6r/1pp2pk1/p3bq1p/2Pp1p2/8/PnPBQN2/1P4PP/4RR1K w - - 3 22	61960	0.01827073097229004	1264	1233	122201	114454	14446
35	629	117	8/6k1/5p2/4r2P/5p2/2R2P2/5K2/8 b - - 0 62	37563	0.007102251052856445	3749	3696	83395	80371	19246
36	353	56	r3r1k1/6p1/1B3pb1/8/2p1Nn2/P4P2/6PP/4RRK1 w - - 3 32	60271	0.015392780303955078	1348	1267	115026	107806	11226
37	246	60	3r2k1/2p3b1/5qnp/5n2/2PP4/B1PN1P2/P1Q4P/6RK w - - 3 34	106935	0.032738685607910156	2789	2671	239612	228451	36545
38	604	16	r1b1r1k1/1pp1qppp/p1nbpn2/3pN3/P2P4/1P2P2P/1BPNBPP1/R2Q1RK1 w - - 6 12	68538	0.020217418670654297	892	860	109163	100606	11719
39	563	32	3rr3/pkpp2Bp/1p6/5N2/6n1/4P3/P1n2PPP/R4RK1 w - - 0 20	24465	0.008022546768188477	451	428	50603	43637	1502
40	51	22	r3r1k1/1pqbnpp1/p2p1n2/2p1p2p/4PP2/1P1P2PP/PBPQN1B1/R4RK1 w - - 2 15	65223	0.020603179931640625	1805	1765	154958	146641	12427
41	174	39	r3r1k1/1b2qppp/p4b2/3PBR1B/1Pp5/4Q3/6PP/5RK1 b - - 1 23	53370	0.01813793182373047	762	734	102250	96553	5685
42	587	128	4R3/5kp1/8/8/6p1/3qN1P1/7K/8 w - - 12 68	25916	0.005242824554443359	1162	1121	35044	32847	7569
43	735	39	1r2r1k1/1p3pbp/pNq1b1p1/2p1p3/2P1P3/PQ4PP/1P3PB1/3RR1K1 b - - 5 23	102208	0.03219723701477051	3599	3457	236330	224738	38612
44	821	71	7k/6pp/5n2/2rN4/3qPQ2/8/6PP/5R1K b - - 4 39	49842	0.014163732528686523	1858	1815	100060	94750	13259
45	896	69	Q7/5ppk/4p2p/1P6/1Kpq4/P4P2/8/8 b - - 1 38	58056	0.013251543045043945	2969	2892	89009	81652	13249
46	493	59	3r1bk1/p5p1/1p3pp1/3b4/8/P1B1R1PP/1P1N1P2/6K1 b - - 5 33	147337	0.041944026947021484	6063	5800	311187	297709	84818
47	809	99	R7/P4p1k/5p2/2K2p1p/5P2/r5PP/8/8 b - - 15 53	48897	0.00929117202758789	4182	4116	66444	63337	22652
48	983	50	2r5/1p1bn1pk/pr2p2p/5p1P/P2p1B2/1PbP1NP1/4RPBK/1R6 w - - 2 29	86981	0.028486013412475586	1024	884	160244	146467	9454
49	537	42	6k1/1p4pp/1pp1p2n/3rN3/3P2P1/P7/1Bb2P1P/4R1K1 w - - 3 25	72424	0.018897533416748047	2381	2291	128338	122132	27570
50	259	28	2kr3r/pp2ppb1/2n3p1/2p1P1P1/P4B1p/2P2N1b/1PB2K2/RN2R3 w - - 0 18	68313	0.022104740142822266	1709	1652	153311	144589	20877
51	228	73	1R4k1/7p/r4b2/3P1p2/4nPP1/8/7P/4B1K1 b - - 1 40	23198	0.005852460861206055	1029	1016	44896	44025	6327
52	94	34	1r1q1rk1/pb2b1pp/4n3/PBn2p2/1P1p4/5NP1/1B1N1P1P/R2Q1RK1 w - - 1 21	51707	0.018468379974365234	752	726	112188	104571	13314
53	370	97	8/1r3pk1/4p1p1/4P1P1/4r3/P3B2P/3R3K/2nR4 b - - 0 52	24020	0.0061283111572265625	663	663	41392	37688	10718
54	126	62	3r4/1pp2bk1/p3p3/P3Ppqp/1PPPp3/2Q3P1/6BP/3R2K1 w - - 0 35	91649	0.02585458755493164	1844	1720	153036	145022	21502
55	58	70	8/3b2kp/p2p2p1/1p1Pp3/1P2B1PP/P5R1/5PK1/4r3 w - - 3 39	26542	0.007414340972900391	805	762	35641	32744	2795
56	222	100	8/8/5p2/p1r2k1p/R7/4K1PP/8/8 w - - 10 54	67514	0.01410055160522461	4886	4809	106359	103489	37753
57	840	55	2r1r3/1p3pkp/pP1b2p1/P3p3/R2p4/2p2P1P/2P2PP1/2BR1K2 b - - 7 31	69201	0.01895594596862793	3640	3463	157905	150007	36418
58	776	58	5nk1/5pp1/4p2p/1B1p4/3P1P2/4qN1n/2Q3PP/6K1 w - - 5 33	25379	0.006237030029296875	928	904	46686	45911	5060
59	953	98	8/5p2/1R3Pkp/r7/4P1P1/5K2/8/8 w - - 3 53	26011	0.005831718444824219	1475	1404	40269	37612	7109
60	889	50	1rr2bk1/5ppp/pn3n2/3B4/2NP1P2/P1N1P3/3B2PP/4R1K1 w - - 0 29	42452	0.011529207229614258	477	467	81499	69935	5369
61	991	74	7r/1b1qbk2/4ppp1/1p6/1PpPpPNB/2P1P3/5Q1P/R5K1 w - - 8 41	113537	0.033106327056884766	4412	4338	243263	234395	60048
62	682	27	r2q1k1r/1pn1bpp1/5n2/p2p1b2/N2P1N2/1Q4P1/PP1B2BP/2R2RK1 b - - 1 17	162739	0.054731130599975586	1542	1421	291803	272673	24287
63	261	49	r3r1k1/1p3pp1/pqp2b1p/3p4/4BP2/P5PP/1PPR1N2/1KQ1R3 b - - 2 28	27701	0.008065462112426758	370	360	61093	54491	1588
64	602	99	7R/8/8/7p/6k1/6P1/r1r5/3R3K b - - 5 53	46330	0.010911226272583008	3995	3927	123857	117526	36554
65	882	73	7k/7r/2R5/8/p1PP1p2/7P/1r4RK/8 b - - 1 40	22187	0.004569053649902344	1192	1131	35863	33555	6134
66	252	54	4r1k1/1R3ppp/p7/8/r3nN2/4P2P/5PP1/6KR w - - 0 31	132856	0.03283047676086426	5873	5678	285009	275629	78056
67	376	71	6k1/4bp1p/6p1/2p1P3/p1R5/r1BrP2P/4KPP1/2R5 b - - 1 39	77479	0.01909327507019043	3786	3716	180083	175170	37255
68	707	49	3rr1k1/1b3p2/p5p1/1pp2n1B/4PP2/2NP3P/PP4RP/2R3K1 b - - 3 28	167339	0.04405498504638672	2045	1981	258912	249577	54122
69	528	51	3r2k1/1p3p1p/p1bq2pb/4Q3/3p4/1P1B4/P4PPP/1R2R1K1 b - - 1 29	47181	0.013008594512939453	1996	1932	126962	119649	18726
70	888	32	3rr1k1/2q2pbp/pnb1pnp1/2p5/2P2P1N/P1N1P2P/2Q1B1P1/B2R1RK1 w - - 1 20	121719	0.038674116134643555	1870	1784	242691	229370	19906
71	829	23	rn3rk1/1bq1bpp1/ppp1p2p/8/1P1PNP2/P1P2NP1/2Q4P/R1B2RK1 b - - 0 15	113151	0.029871225357055664	3364	3291	231258	224052	55145
72	571	47	1k1r4/2p3p1/4Rn1p/3n4/1P6/2PB2PP/2KN1r2/5R2 b - - 2 27	48443	0.01307058334350586	1217	1184	102028	96218	8735
73	181	47	r3r3/p5kp/1bp1Pp2/1p3Pp1/8/PBB5/2P3KP/5R2 b - - 1 27	63354	0.01726078987121582	2090	2025	129487	122375	21137
74	18	61	3r4/5p2/4pkp1/2p4p/P1Pn4/7P/P4PK1/1R1B4 b - - 0 34	64786	0.016005992889404297	3537	3439	130677	125270	29461
75	209	38	1rb2rk1/4bppp/8/3Pp3/1n6/B4NP1/5PBP/3RR1K1 w - - 0 23	53908	0.016146183013916016	1056	1032	98731	92438	9068
76	510	44	6k1/4bppp/1p6/3p4/P7/5NP1/1Pr2P1P/5RK1 w - - 1 26	30911	0.008200883865356445	1259	1210	56689	53281	8069
77	831	46	4r1k1/3q1p1p/3p2p1/p1pP4/P1P2Q2/2P5/6PP/1R4K1 w - - 0 27	56903	0.016038894653320312	2203	2102	123286	116752	20180
78	339	115	8/4kp2/8/5K2/4P3/5P2/5bN1/8 b - - 0 61	32340	0.005873441696166992	2898	2757	53711	50531	12415
79	176	40	5r2/1b3kp1/1p5p/pBpprp1P/8/P1P1PP2/1P4P1/R3R1K1 w - - 1 24	147097	0.03976893424987793	7005	6790	303950	294846	94540
80	7	47	2r1r1k1/ppbn1pp1/7p/3P4/3NP3/5P2/PP1B2P1/1KR4R b - - 3 27	95264	0.030301332473754883	3068	2826	226755	213498	26224
81	640	70	2r3k1/5pp1/3Rp2p/7P/1P3q2/8/5PQ1/5BK1 w - - 5 39	61263	0.017493009567260742	2644	2589	133085	128680	27466
82	901	58	5r1k/2q3r1/1p1b3p/4p3/P3R1p1/2P3P1/1Q1N1P1P/4R1K1 w - - 5 33	64070	0.021259069442749023	1200	1143	132874	123593	17251
83	790	23	r4rk1/2pbqpbp/p1n3p1/1p2p3/5n2/1PPP1N2/PBNQBPPP/R3R1K1 b - - 1 15	321396	0.10696005821228027	3693	3563	490520	475045	89804
84	580	64	3r4/r1q2pk1/2p1p1p1/2PpPn2/1Pb2P2/P6R/1BQ3BP/3R2K1 w - - 3 36	99253	0.03600573539733887	4759	4470	336064	318614	49537
85	404	82	6k1/5pp1/2p5/p3P3/P2PN1rP/8/1r5P/3R2NK w - - 1 45	35949	0.008521556854248047	1151	1106	56113	53025	9090
86	526	56	2r5/4k3/1R1bp2p/3p1p2/3P4/r3P1P1/R2N1PP1/6K1 w - - 0 32	18977	0.0053424835205078125	910	889	39806	37163	4628
87	879	37	3br1k1/3q1pp1/1p2bn1p/nPpPp3/8/2NPQ2P/1BPNBPP1/3R2K1 b - - 0 22	42826	0.013554811477661133	653	636	84304	79433	6860
88	407	34	1r1qr1k1/3b1p1p/p2p2p1/1ppNb3/1PP1PQ2/P2P3P/4BPP1/2R2RK1 w - - 8 21	110127	0.0327601432800293	1268	1181	183698	175710	23459
89	891	124	8/8/8/pKN5/2p2k2/P1P5/1r6/8 w - - 0 66	29726	0.005458354949951172	2060	2017	42052	41039	11641
90	507	126	8/2R5/6kp/2pP2p1/5p2/7P/1r4PK/8 w - - 0 67	31084	0.006127834320068359	1592	1562	41665	40238	7164
91	346	52	r3r2k/5p2/p1n1b2B/1p1pP3/3P4/P2BR3/5P2/1R4K1 w - - 3 30	68028	0.018263816833496094	2274	2162	141484	130686	20730
92	14	134	6k1/R7/7b/8/2KB2r1/3P4/8/8 w - - 11 71	114749	0.025841474533081055	9312	9128	287910	281376	89716
93	439	71	2r2bk1/5pp1/1p1np2p/pP1q3P/P2N1P2/2P2QP1/1B4K1/R7 b - - 14 39	75273	0.019786596298217773	1894	1854	127615	121515	18087
94	613	75	8/6rk/pQp2q1p/8/P3p1p1/3bP1R1/1P3P1P/R5K1 b - - 4 41	71891	0.019608736038208008	2109	1957	144821	133979	24129
95	906	37	rr4k1/1pqnppb1/4b1pp/1BPp4/3PNPP1/4PN1P/1BQ3K1/R3R3 b - - 0 22	66723	0.018008708953857422	388	387	89711	83954	4278
96	39	44	2r3k1/1p1bbpp1/2n1p2p/1N1p4/r3n3/5NPP/q2B1PB1/2RQ1RK1 w - - 10 26	139893	0.0449671745300293	1952	1831	285450	271233	37563
97	292	48	5rk1/6p1/2p4p/5b2/PP6/2Pp4/1B3PPP/3R2K1 w - - 0 28	54778	0.012056589126586914	3917	3850	135515	132067	37615
98	170	64	4r1k1/1p3p1p/1q4p1/p2p2B1/Pb1Pp1n1/1P3NP1/2Q3PP/5RK1 w - - 0 36	71386	0.020269393920898438	1145	1074	136489	128112	13507
99	935	52	r4r2/7k/1p5p/pPpPp3/P2pP3/3P2Pq/3Q4/R4RK1 w - - 0 30	23925	0.005518436431884766	765	751	43204	39016	4443
100	249	50	4r2k/1p4p1/2p1r2p/p2bPp1q/5B1P/5P1Q/PPP5/R4RK1 w - - 5 29	121172	0.03460979461669922	3653	3464	220848	208954	47355
101	875	80	1r2r1k1/R1R2p2/2p3pp/2Pbp3/p7/P1B4P/2P2PP1/6K1 w - - 4 44	30891	0.007792472839355469	1048	1004	56774	52815	10648
102	88	38	2r2rk1/3nqp1p/p3bnp1/Npp5/3Pp2N/P3P2P/1P1QBPP1/R4RK1 w - - 6 23	104086	0.03582191467285156	1601	1480	230498	218159	27728
103	297	31	4rr1k/pQp3pp/8/q3B2n/4PPb1/3P4/P4PBP/2R2RK1 b - - 0 19	127581	0.04496335983276367	1663	1595	246844	228702	21851
104	437	52	3R4/p1p2pkp/5Np1/4Pb2/6P1/P7/nrr2PKP/4R3 w - - 3 30	29875	0.007955312728881836	845	791	49984	41142	5128
105	854	43	r5k1/p6p/2p3p1/6p1/4p3/P6P/1P3PPK/7R b - - 1 25	41027	0.009454727172851562	2026	1913	71213	67813	15066
106	277	42	5rk1/p3ppb1/1q5p/2r1Pn2/2p2p2/N1Q1B1P1/PP5P/3RR1K1 w - - 0 25	94408	0.0300447940826416	1358	1346	155297	145676	17598
107	987	36	4kbnN/p2b2pp/1r3n2/2q5/3p4/P5QP/3NpPP1/R1B1R1K1 w - - 0 22	82257	0.027958154678344727	2229	2197	185385	178886	28284
108	710	81	8/5pp1/5k1p/7P/4BKP1/1r6/5P2/8 b - - 6 44	18311	0.00412440299987793	1217	1201	27054	25482	3995
109	421	93	8/5p2/4k2p/1P6/2r3P1/4B1K1/6P1/8 b - - 1 50	37069	0.007368803024291992	1906	1842	52570	49738	13381
110	819	40	3r2k1/1p3rpp/p2Pb1n1/1p3p2/1Q2p2q/4P2N/P2RBPPP/3R2K1 w - - 4 24	65497	0.021233081817626953	1114	1072	117508	109948	11295
111	770	31	rn2r1k1/pp3p1p/6p1/P2P4/2Pb4/5BPP/1P4K1/R1B4R b - - 1 19	64118	0.02074265480041504	2122	1972	161781	153331	27874
112	928	50	2r1bbk1/BR3p2/p2p2np/3Pp3/2P1P1n1/P1N2N2/4BPP1/6K1 w - - 3 29	33689	0.009857416152954102	908	865	76190	69075	6048
113	736	31	r2q1rk1/1Bb2ppp/1p2p2n/4P3/pPpP2P1/P6P/3NQ3/R1B2RK1 b - - 0 19	39899	0.011639833450317383	441	440	54240	50382	3319
114	525	78	8/p3p3/P2pk1p1/R4p2/2PP4/3KP1P1/1r6/8 w - - 0 43	32332	0.007185935974121094	1461	1405	39501	37958	7041
115	912	22	r2q1rk1/2p1ppb1/2pp1np1/N4b2/2PP4/P3P1Pp/P2BNP1P/1R1Q1RK1 w - - 1 15	179964	0.056272268295288086	3911	3756	329098	312501	64602
116	773	31	3r1rk1/1pp1qpb1/p3bnpp/4N3/2N5/1P2P2P/PB2QPP1/3R1RK1 b - - 5 19	311956	0.09554386138916016	5190	5076	441032	428649	103027
117	827	183	8/8/4k1p1/6B1/4P1KP/5P2/8/4r3 b - - 12 95	19992	0.00395512580871582	1900	1858	35957	34529	9955
